tradition,gender,name
irish,f,Eileen
irish,f,Annie
irish,f,Josephine
irish,f,Delia
german,m,Johann
german,m,Jacob
german,m,Abraham
german,m,Isaac
german,m,Peter
german,m,Heinrich
german,m,Cornelius
german,m,Bernhard
german,m,Gerhard
german,m,Wilhelm
german,m,David
german,m,Benjamin
german,m,Franz
german,m,Klaas
german,m,Dietrich
german,m,Aron
german,m,Jakob
german,m,Tobias
german,m,Erdmann
german,m,Kornelius
german,f,Anna
german,f,Maria
german,f,Katharina
german,f,Margaretha
german,f,Helena
german,f,Elisabeth
german,f,Sara
german,f,Susanna
german,f,Justina
german,f,Agatha
german,f,Aganetha
german,f,Gertruda
german,f,Eva
german,f,Barbara
german,f,Magdalena
german,f,Liese
german,f,Tina
german,f,Nettie
german,f,Lena
german,f,Mathilde
ukrainian,m,Wasyl
ukrainian,m,Ivan
ukrainian,m,Mykola
ukrainian,m,Petro
ukrainian,m,Dmytro
ukrainian,m,Stefan
ukrainian,m,Andriy
ukrainian,m,Hryhoriy
ukrainian,m,Fedir
ukrainian,m,Mykhailo
ukrainian,m,Yurko
ukrainian,m,Pavlo
ukrainian,m,Oleksa
ukrainian,m,Roman
ukrainian,m,Taras
ukrainian,m,Semen
ukrainian,m,Danylo
ukrainian,m,Kost
ukrainian,m,Onufriy
ukrainian,m,Teodor
ukrainian,f,Anna
ukrainian,f,Maria
ukrainian,f,Kateryna
ukrainian,f,Paraska
ukrainian,f,Olena
ukrainian,f,Marta
ukrainian,f,Sofia
ukrainian,f,Halyna
ukrainian,f,Oksana
ukrainian,f,Domka
ukrainian,f,Tekla
ukrainian,f,Yevdokia
ukrainian,f,Nastia
ukrainian,f,Hanna
ukrainian,f,Ksenia
ukrainian,f,Varvara
ukrainian,f,Melania
ukrainian,f,Anastasia
ukrainian,f,Natalka
ukrainian,f,Zenia
icelandic,m,Sigurdur
icelandic,m,Jon
icelandic,m,Gudmundur
icelandic,m,Bjorn
icelandic,m,Thorsteinn
icelandic,m,Einar
icelandic,m,Magnus
icelandic,m,Olafur
icelandic,m,Kristjan
icelandic,m,Stefan
icelandic,m,Halldor
icelandic,m,Arni
icelandic,m,Petur
icelandic,m,Sveinn
icelandic,m,Gunnar
icelandic,m,Jonas
icelandic,m,Vilhjalmur
icelandic,m,Baldur
icelandic,m,Helgi
icelandic,m,Ingolfur
icelandic,f,Gudrun
icelandic,f,Sigridur
icelandic,f,Kristin
icelandic,f,Margret
icelandic,f,Ingibjorg
icelandic,f,Helga
icelandic,f,Anna
icelandic,f,Thora
icelandic,f,Bjorg
icelandic,f,Ragnhildur
icelandic,f,Halldora
icelandic,f,Vilborg
icelandic,f,Steinunn
icelandic,f,Sesselja
icelandic,f,Olof
icelandic,f,Gudny
icelandic,f,Jona
icelandic,f,Sigrun
icelandic,f,Lilja
icelandic,f,Rosa
scandinavian,m,Ole
scandinavian,m,Hans
scandinavian,m,Nils
scandinavian,m,Lars
scandinavian,m,Anders
scandinavian,m,Erik
scandinavian,m,Peder
scandinavian,m,Knut
scandinavian,m,Johan
scandinavian,m,Karl
scandinavian,m,Sven
scandinavian,m,Gustav
scandinavian,m,Olaf
scandinavian,m,Halvor
scandinavian,m,Torvald
scandinavian,m,Ingvald
scandinavian,m,Magnus
scandinavian,m,Sigurd
scandinavian,m,Axel
scandinavian,m,Arne
scandinavian,f,Anna
scandinavian,f,Karen
scandinavian,f,Marie
scandinavian,f,Ingrid
scandinavian,f,Signe
scandinavian,f,Astrid
scandinavian,f,Hilda
scandinavian,f,Sigrid
scandinavian,f,Berit
scandinavian,f,Kari
scandinavian,f,Ragna
scandinavian,f,Solveig
scandinavian,f,Thora
scandinavian,f,Inga
scandinavian,f,Helga
scandinavian,f,Dagny
scandinavian,f,Borghild
scandinavian,f,Gudrun
scandinavian,f,Olga
scandinavian,f,Petra
jewish,m,Abraham
jewish,m,David
jewish,m,Moses
jewish,m,Isaac
jewish,m,Samuel
jewish,m,Aaron
jewish,m,Jacob
jewish,m,Benjamin
jewish,m,Solomon
jewish,m,Joseph
jewish,m,Nathan
jewish,m,Ezekiel
jewish,m,Emanuel
jewish,m,Lazarus
jewish,m,Hyman
jewish,m,Louis
jewish,m,Maurice
jewish,m,Harris
jewish,m,Simon
jewish,m,Meyer
jewish,f,Rebecca
jewish,f,Rachel
jewish,f,Sarah
jewish,f,Esther
jewish,f,Leah
jewish,f,Miriam
jewish,f,Hannah
jewish,f,Judith
jewish,f,Rosa
jewish,f,Fanny
jewish,f,Sophia
jewish,f,Clara
jewish,f,Bertha
jewish,f,Dora
jewish,f,Ida
jewish,f,Minnie
jewish,f,Bella
jewish,f,Gittel
jewish,f,Frieda
jewish,f,Zipporah
russian,m,Peter
russian,m,Ivan
russian,m,Nikolai
russian,m,Vasili
russian,m,Mikhail
russian,m,Fyodor
russian,m,Alexei
russian,m,Gregory
russian,m,Semyon
russian,m,Pavel
russian,m,Larion
russian,m,Savely
russian,m,Anton
russian,m,Timofei
russian,m,Kuzma
russian,m,Yegor
russian,m,Makar
russian,m,Ilya
russian,m,Vladimir
russian,m,Andrei
russian,f,Anna
russian,f,Maria
russian,f,Anastasia
russian,f,Tatiana
russian,f,Elena
russian,f,Polly
russian,f,Dunya
russian,f,Nastya
russian,f,Masha
russian,f,Lukeria
russian,f,Praskovia
russian,f,Fedosia
russian,f,Agafia
russian,f,Mavra
russian,f,Daria
russian,f,Efrosinia
russian,f,Vera
russian,f,Nadezhda
russian,f,Lyuba
russian,f,Olga
metis,m,Jean-Baptiste
metis,m,Louis
metis,m,Gabriel
metis,m,Pierre
metis,m,Alexandre
metis,m,Cuthbert
metis,m,Ambroise
metis,m,Isidore
metis,m,Norbert
metis,m,Elzéar
metis,m,Baptiste
metis,m,Moïse
metis,m,Maxime
metis,m,André
metis,m,Xavier
metis,m,Joseph
metis,m,Michel
metis,m,Antoine
metis,m,Pascal
metis,m,Paul
metis,f,Marie
metis,f,Marguerite
metis,f,Angélique
metis,f,Josephte
metis,f,Madeleine
metis,f,Julie
metis,f,Isabelle
metis,f,Rosalie
metis,f,Cécile
metis,f,Véronique
metis,f,Élise
metis,f,Nancy
metis,f,Sara
metis,f,Catherine
metis,f,Geneviève
metis,f,Suzanne
metis,f,Thérèse
metis,f,Louise
metis,f,Anne
metis,f,Hélène
cree,m,Joseph
cree,m,Charles
cree,m,Peter
cree,m,Thomas
cree,m,Samuel
cree,m,James
cree,m,Edward
cree,m,Louis
cree,m,John
cree,m,Alexander
cree,m,David
cree,m,Benjamin
cree,m,George
cree,m,Simon
cree,m,Moses
cree,m,Isaac
cree,m,Daniel
cree,m,William
cree,m,Noah
cree,m,Solomon
cree,f,Mary
cree,f,Isabelle
cree,f,Elizabeth
cree,f,Ruth
cree,f,Sarah
cree,f,Suzanne
cree,f,Margaret
cree,f,Catherine
cree,f,Nancy
cree,f,Martha
cree,f,Jane
cree,f,Hannah
cree,f,Rebecca
cree,f,Ellen
cree,f,Emma
cree,f,Annie
cree,f,Agnes
cree,f,Rachel
cree,f,Susan
cree,f,Charlotte
blackfoot,m,Joseph
blackfoot,m,James
blackfoot,m,Peter
blackfoot,m,Jack
blackfoot,m,Daniel
blackfoot,m,Thomas
blackfoot,m,Paul
blackfoot,m,Eddie
blackfoot,m,Frank
blackfoot,m,George
blackfoot,m,Charlie
blackfoot,m,Ben
blackfoot,m,Percy
blackfoot,m,Albert
blackfoot,m,Louis
blackfoot,m,Simon
blackfoot,m,Dick
blackfoot,m,Henry
blackfoot,m,Sam
blackfoot,m,John
blackfoot,f,Mary
blackfoot,f,Rosie
blackfoot,f,Annie
blackfoot,f,Sarah
blackfoot,f,Josephine
blackfoot,f,Louise
blackfoot,f,Agnes
blackfoot,f,Cecile
blackfoot,f,Ruth
blackfoot,f,Katie
blackfoot,f,Margaret
blackfoot,f,Helen
blackfoot,f,Bernadette
blackfoot,f,Emma
blackfoot,f,Alice
blackfoot,f,Clara
blackfoot,f,Julia
blackfoot,f,Nora
blackfoot,f,Jenny
blackfoot,f,Lucy
anishinaabe,m,Joseph
anishinaabe,m,Francis
anishinaabe,m,Peter
anishinaabe,m,Paul
anishinaabe,m,Simon
anishinaabe,m,Thomas
anishinaabe,m,Ignatius
anishinaabe,m,Jean
anishinaabe,m,Baptiste
anishinaabe,m,John
anishinaabe,m,Alexander
anishinaabe,m,Louis
anishinaabe,m,Charles
anishinaabe,m,Michel
anishinaabe,m,Antoine
anishinaabe,m,James
anishinaabe,m,Isaac
anishinaabe,m,Daniel
anishinaabe,m,William
anishinaabe,m,Solomon
anishinaabe,f,Marie
anishinaabe,f,Catherine
anishinaabe,f,Josephine
anishinaabe,f,Angeline
anishinaabe,f,Mary
anishinaabe,f,Sophie
anishinaabe,f,Elizabeth
anishinaabe,f,Christine
anishinaabe,f,Marguerite
anishinaabe,f,Agnes
anishinaabe,f,Sarah
anishinaabe,f,Julia
anishinaabe,f,Cecilia
anishinaabe,f,Susan
anishinaabe,f,Theresa
anishinaabe,f,Anne
anishinaabe,f,Louise
anishinaabe,f,Helen
anishinaabe,f,Rose
anishinaabe,f,Martha
haudenosaunee,m,Joseph
haudenosaunee,m,John
haudenosaunee,m,Isaac
haudenosaunee,m,Peter
haudenosaunee,m,Jacob
haudenosaunee,m,Thomas
haudenosaunee,m,Nicholas
haudenosaunee,m,Seth
haudenosaunee,m,Henry
haudenosaunee,m,William
haudenosaunee,m,Daniel
haudenosaunee,m,David
haudenosaunee,m,Moses
haudenosaunee,m,Levi
haudenosaunee,m,Aaron
haudenosaunee,m,Elijah
haudenosaunee,m,Josiah
haudenosaunee,m,Cornelius
haudenosaunee,m,Abram
haudenosaunee,m,Simeon
haudenosaunee,f,Mary
haudenosaunee,f,Elizabeth
haudenosaunee,f,Susannah
haudenosaunee,f,Catharine
haudenosaunee,f,Margaret
haudenosaunee,f,Hannah
haudenosaunee,f,Sarah
haudenosaunee,f,Nancy
haudenosaunee,f,Esther
haudenosaunee,f,Charlotte
haudenosaunee,f,Eliza
haudenosaunee,f,Lydia
haudenosaunee,f,Rachel
haudenosaunee,f,Ruth
haudenosaunee,f,Deborah
haudenosaunee,f,Jane
haudenosaunee,f,Phoebe
haudenosaunee,f,Rebecca
haudenosaunee,f,Martha
haudenosaunee,f,Ann
mikmaq,m,Joseph
mikmaq,m,Louis
mikmaq,m,Peter
mikmaq,m,Francis
mikmaq,m,Noel
mikmaq,m,Paul
mikmaq,m,Andrew
mikmaq,m,Michael
mikmaq,m,Thomas
mikmaq,m,John
mikmaq,m,Benjamin
mikmaq,m,Isaac
mikmaq,m,Simon
mikmaq,m,Matthew
mikmaq,m,Stephen
mikmaq,m,Charles
mikmaq,m,Gabriel
mikmaq,m,Newell
mikmaq,m,Sylvester
mikmaq,m,Jerome
mikmaq,f,Mary
mikmaq,f,Madeleine
mikmaq,f,Catherine
mikmaq,f,Anne
mikmaq,f,Margaret
mikmaq,f,Josephine
mikmaq,f,Cecilia
mikmaq,f,Christine
mikmaq,f,Susan
mikmaq,f,Agnes
mikmaq,f,Isabel
mikmaq,f,Theresa
mikmaq,f,Elizabeth
mikmaq,f,Louise
mikmaq,f,Sarah
mikmaq,f,Helen
mikmaq,f,Martha
mikmaq,f,Annie
mikmaq,f,Rose
mikmaq,f,Bernadette
inuit,m,Peter
inuit,m,Simon
inuit,m,Joseph
inuit,m,Thomas
inuit,m,John
inuit,m,Abraham
inuit,m,Jacob
inuit,m,Noah
inuit,m,Enoch
inuit,m,Mark
inuit,m,Luke
inuit,m,Paul
inuit,m,Samuel
inuit,m,Isaac
inuit,m,Elijah
inuit,m,Timothy
inuit,m,Moses
inuit,m,Josiah
inuit,m,Levi
inuit,m,Jonah
inuit,f,Mary
inuit,f,Elizabeth
inuit,f,Martha
inuit,f,Rebecca
inuit,f,Sarah
inuit,f,Ruth
inuit,f,Leah
inuit,f,Rachel
inuit,f,Naomi
inuit,f,Hannah
inuit,f,Miriam
inuit,f,Esther
inuit,f,Lydia
inuit,f,Susan
inuit,f,Annie
inuit,f,Elisapee
inuit,f,Leah
inuit,f,Eva
inuit,f,Rhoda
inuit,f,Lucy
dene,m,Joseph
dene,m,François
dene,m,Pierre
dene,m,Jean
dene,m,Michel
dene,m,Antoine
dene,m,Baptiste
dene,m,Paul
dene,m,Thomas
dene,m,Louis
dene,m,Alexis
dene,m,George
dene,m,Isidore
dene,m,Noel
dene,m,Vital
dene,m,Modeste
dene,m,Alphonse
dene,m,Edward
dene,m,Frank
dene,m,Henry
dene,f,Marie
dene,f,Madeleine
dene,f,Angélique
dene,f,Rosalie
dene,f,Catherine
dene,f,Thérèse
dene,f,Cécile
dene,f,Julienne
dene,f,Adèle
dene,f,Christine
dene,f,Elise
dene,f,Bella
dene,f,Josephine
dene,f,Mary
dene,f,Anne
dene,f,Agnes
dene,f,Bernadette
dene,f,Celine
dene,f,Louise
dene,f,Helene
athabaskan,m,Charlie
athabaskan,m,Joseph
athabaskan,m,Peter
athabaskan,m,Isaac
athabaskan,m,Silas
athabaskan,m,Paul
athabaskan,m,Moses
athabaskan,m,Jacob
athabaskan,m,Abraham
athabaskan,m,Enoch
athabaskan,m,Simon
athabaskan,m,Titus
athabaskan,m,Jonathan
athabaskan,m,Daniel
athabaskan,m,John
athabaskan,m,Elijah
athabaskan,m,David
athabaskan,m,James
athabaskan,m,Andrew
athabaskan,m,Esau
athabaskan,f,Mary
athabaskan,f,Martha
athabaskan,f,Sarah
athabaskan,f,Rachel
athabaskan,f,Elizabeth
athabaskan,f,Julia
athabaskan,f,Eliza
athabaskan,f,Hannah
athabaskan,f,Annie
athabaskan,f,Ruth
athabaskan,f,Susie
athabaskan,f,Lucy
athabaskan,f,Ellen
athabaskan,f,Jane
athabaskan,f,Rebecca
athabaskan,f,Alice
athabaskan,f,Maggie
athabaskan,f,Emma
athabaskan,f,Helen
athabaskan,f,Anna
chinese,m,Wing
chinese,m,Sing
chinese,m,Kwong
chinese,m,Yuen
chinese,m,Chong
chinese,m,Hing
chinese,m,Lee
chinese,m,Foo
chinese,m,Ming
chinese,m,Wah
chinese,m,Chun
chinese,m,Kee
chinese,m,Hong
chinese,m,Gee
chinese,m,Fong
chinese,m,Sam
chinese,m,Lum
chinese,m,Tong
chinese,m,Duck
chinese,m,Yee
chinese,f,Mei
chinese,f,Lin
chinese,f,Ying
chinese,f,Fong
chinese,f,Sue
chinese,f,Ah-Lan
chinese,f,Choy
chinese,f,Hoy
chinese,f,Lai
chinese,f,Yun
chinese,f,Kum
chinese,f,Ngan
chinese,f,Oi
chinese,f,Sim
chinese,f,Wan
chinese,f,Yuk
chinese,f,Ping
chinese,f,Lan
chinese,f,Fung
chinese,f,Kwai
japanese,m,Tomekichi
japanese,m,Manzo
japanese,m,Jinsaburo
japanese,m,Kenji
japanese,m,Takeo
japanese,m,Hideo
japanese,m,Masao
japanese,m,Isamu
japanese,m,Shigeru
japanese,m,Tadashi
japanese,m,Yoshio
japanese,m,Ichiro
japanese,m,Saburo
japanese,m,Kiyoshi
japanese,m,Minoru
japanese,m,Tsutomu
japanese,m,Haruo
japanese,m,Noboru
japanese,m,Toshio
japanese,m,Goro
japanese,f,Haru
japanese,f,Kiyo
japanese,f,Tomi
japanese,f,Fumi
japanese,f,Hana
japanese,f,Shizu
japanese,f,Yoshi
japanese,f,Chiyo
japanese,f,Masa
japanese,f,Kimi
japanese,f,Toshi
japanese,f,Ume
japanese,f,Sumi
japanese,f,Hisa
japanese,f,Tsuru
japanese,f,Aki
japanese,f,Michi
japanese,f,Sada
japanese,f,Nobu
japanese,f,Teru
punjabi,m,Bhagat
punjabi,m,Mewa
punjabi,m,Balwant
punjabi,m,Harnam
punjabi,m,Gurdit
punjabi,m,Kartar
punjabi,m,Sundar
punjabi,m,Teja
punjabi,m,Arjan
punjabi,m,Sohan
punjabi,m,Naranjan
punjabi,m,Bishan
punjabi,m,Puran
punjabi,m,Waryam
punjabi,m,Jawala
punjabi,m,Munsha
punjabi,m,Hari
punjabi,m,Inder
punjabi,m,Ganga
punjabi,m,Bhag
punjabi,f,Kartar
punjabi,f,Harnam
punjabi,f,Bhagwan
punjabi,f,Gurbachan
punjabi,f,Surjit
punjabi,f,Jagir
punjabi,f,Balbir
punjabi,f,Pritam
punjabi,f,Amrit
punjabi,f,Ranjit
punjabi,f,Raj
punjabi,f,Nasib
punjabi,f,Charan
punjabi,f,Harbans
punjabi,f,Mohinder
punjabi,f,Gurdev
punjabi,f,Swaran
punjabi,f,Jaswant
punjabi,f,Sukhwant
punjabi,f,Kuldip
coast_salish,m,Joe
coast_salish,m,Charlie
coast_salish,m,August
coast_salish,m,Andrew
coast_salish,m,Dominic
coast_salish,m,Louis
coast_salish,m,Simon
coast_salish,m,Basil
coast_salish,m,Isaac
coast_salish,m,Jacob
coast_salish,m,Peter
coast_salish,m,Tom
coast_salish,m,George
coast_salish,m,Dan
coast_salish,m,Willie
coast_salish,m,Moses
coast_salish,m,Edward
coast_salish,m,Frank
coast_salish,m,Chief
coast_salish,m,Jimmy
coast_salish,f,Mary
coast_salish,f,Agnes
coast_salish,f,Rose
coast_salish,f,Julia
coast_salish,f,Cecilia
coast_salish,f,Susan
coast_salish,f,Katherine
coast_salish,f,Margaret
coast_salish,f,Christine
coast_salish,f,Annie
coast_salish,f,Ellen
coast_salish,f,Emma
coast_salish,f,Lucy
coast_salish,f,Theresa
coast_salish,f,Sophie
coast_salish,f,Josephine
coast_salish,f,Louise
coast_salish,f,Mabel
coast_salish,f,Elsie
coast_salish,f,Alice
northwest_coast,m,Charles
northwest_coast,m,Albert
northwest_coast,m,Henry
northwest_coast,m,Alfred
northwest_coast,m,Robert
northwest_coast,m,Isaac
northwest_coast,m,Joseph
northwest_coast,m,Peter
northwest_coast,m,Amos
northwest_coast,m,Frederick
northwest_coast,m,George
northwest_coast,m,Timothy
northwest_coast,m,Paul
northwest_coast,m,Solomon
northwest_coast,m,Daniel
northwest_coast,m,Moses
northwest_coast,m,Samuel
northwest_coast,m,William
northwest_coast,m,John
northwest_coast,m,Matthew
northwest_coast,f,Isabella
northwest_coast,f,Amy
northwest_coast,f,Emily
northwest_coast,f,Flora
northwest_coast,f,Emma
northwest_coast,f,Florence
northwest_coast,f,Agnes
northwest_coast,f,Susan
northwest_coast,f,Sarah
northwest_coast,f,Lucy
northwest_coast,f,Ada
northwest_coast,f,Mary
northwest_coast,f,Julia
northwest_coast,f,Josephine
northwest_coast,f,Martha
northwest_coast,f,Annie
northwest_coast,f,Alice
northwest_coast,f,Edith
northwest_coast,f,Lizzie
northwest_coast,f,Rebecca
interior_salish,m,Louis
interior_salish,m,Pierre
interior_salish,m,Michel
interior_salish,m,Alexis
interior_salish,m,Basil
interior_salish,m,Paul
interior_salish,m,Gregoire
interior_salish,m,Eneas
interior_salish,m,Baptiste
interior_salish,m,Joseph
interior_salish,m,Antoine
interior_salish,m,Francois
interior_salish,m,Isaac
interior_salish,m,Casimir
interior_salish,m,Narcisse
interior_salish,m,Edward
interior_salish,m,Jimmy
interior_salish,m,Charlie
interior_salish,m,Tommy
interior_salish,m,August
interior_salish,f,Marie
interior_salish,f,Christine
interior_salish,f,Julienne
interior_salish,f,Susanne
interior_salish,f,Madeleine
interior_salish,f,Cecile
interior_salish,f,Rosalie
interior_salish,f,Mary
interior_salish,f,Agnes
interior_salish,f,Angelique
interior_salish,f,Sophie
interior_salish,f,Louise
interior_salish,f,Josephine
interior_salish,f,Theresa
interior_salish,f,Annie
interior_salish,f,Lucy
interior_salish,f,Martha
interior_salish,f,Ellen
interior_salish,f,Catherine
interior_salish,f,Elise
hawaiian,m,William
hawaiian,m,Peter
hawaiian,m,John
hawaiian,m,Joseph
hawaiian,m,George
hawaiian,m,Thomas
hawaiian,m,Kaleo
hawaiian,m,Keoni
hawaiian,m,Kimo
hawaiian,m,Lono
hawaiian,m,Kanaka
hawaiian,m,Makana
hawaiian,m,Kai
hawaiian,m,Palani
hawaiian,m,Kala
hawaiian,m,Kekoa
hawaiian,m,Pono
hawaiian,m,Ikaika
hawaiian,m,Keawe
hawaiian,m,Manu
hawaiian,f,Maria
hawaiian,f,Mary
hawaiian,f,Leilani
hawaiian,f,Kalani
hawaiian,f,Malia
hawaiian,f,Keala
hawaiian,f,Lani
hawaiian,f,Nani
hawaiian,f,Momi
hawaiian,f,Pua
hawaiian,f,Noelani
hawaiian,f,Kahala
hawaiian,f,Emma
hawaiian,f,Sophia
hawaiian,f,Jane
hawaiian,f,Anna
hawaiian,f,Kealoha
hawaiian,f,Kiele
hawaiian,f,Luana
hawaiian,f,Wailani
newfoundland,m,Cornelius
newfoundland,m,James
newfoundland,m,Edward
newfoundland,m,William
newfoundland,m,Ambrose
newfoundland,m,Michael
newfoundland,m,Patrick
newfoundland,m,John
newfoundland,m,Thomas
newfoundland,m,Robert
newfoundland,m,Augustine
newfoundland,m,Aloysius
newfoundland,m,Gerald
newfoundland,m,Leo
newfoundland,m,Cyril
newfoundland,m,Philip
newfoundland,m,Walter
newfoundland,m,Henry
newfoundland,m,Gordon
newfoundland,m,Cecil
newfoundland,f,Bride
newfoundland,f,Mary
newfoundland,f,Margaret
newfoundland,f,Catherine
newfoundland,f,Elizabeth
newfoundland,f,Julia
newfoundland,f,Winifred
newfoundland,f,Ellen
newfoundland,f,Johanna
newfoundland,f,Agnes
newfoundland,f,Gertrude
newfoundland,f,Loretta
newfoundland,f,Veronica
newfoundland,f,Genevieve
newfoundland,f,Mercedes
newfoundland,f,Marion
newfoundland,f,Blanche
newfoundland,f,Lillian
newfoundland,f,Madeline
newfoundland,f,Alice
