community,surname
Irish Catholic,Hogan
Irish Catholic,Nolan
Irish Catholic,Furlong
Irish Catholic,Quinlan
Irish Catholic,Byrne
Irish Catholic,Keating
Irish Catholic,Tobin
Irish Catholic,Cashin
Irish Catholic,Meagher
Black Loyalist and Refugee,Hall
Black Loyalist and Refugee,Preston
Black Loyalist and Refugee,Thomas
Black Loyalist and Refugee,Carvery
Black Loyalist and Refugee,Dixon
Black Loyalist and Refugee,Brown
Black Loyalist and Refugee,Colley
Black Loyalist and Refugee,Johnston
Black Loyalist and Refugee,Grant
Black Loyalist and Refugee,Bundy
Black Loyalist and Refugee,Sparks
Black Loyalist and Refugee,Whiley
Black Loyalist and Refugee,Byers
Black Loyalist and Refugee,Downey
Black Loyalist and Refugee,Beals
Black Loyalist and Refugee,Jackson
Black Loyalist and Refugee,Fortune
Black Loyalist and Refugee,Cain
Black Loyalist and Refugee,Marsman
Black Loyalist and Refugee,Skinner
Mi'kmaq,Paul
Mi'kmaq,Sylliboy
Mi'kmaq,Denny
Mi'kmaq,Googoo
Mi'kmaq,Marshall
Mi'kmaq,Christmas
Mi'kmaq,Prosper
Mi'kmaq,Knockwood
Mi'kmaq,Gould
Mi'kmaq,Julian
Mi'kmaq,Sock
Mi'kmaq,Francis
Mi'kmaq,Pictou
Mi'kmaq,Labrador
Mi'kmaq,Bernard
Mi'kmaq,Meuse
Mi'kmaq,Isaac
Mi'kmaq,Peters
Mi'kmaq,Sack
Mi'kmaq,Toney
Lunenburg German,Zwicker
Lunenburg German,Eisenhauer
Lunenburg German,Knickle
Lunenburg German,Mosher
Lunenburg German,Hebb
Lunenburg German,Rhuland
Lunenburg German,Publicover
Lunenburg German,Wentzell
Lunenburg German,Conrad
Lunenburg German,Himmelman
Lunenburg German,Oxner
Lunenburg German,Berringer
Lunenburg German,Corkum
Lunenburg German,Ernst
Lunenburg German,Heisler
Lunenburg German,Langille
Lunenburg German,Creaser
Lunenburg German,Whynot
Lunenburg German,Smeltzer
Lunenburg German,Naugler
Newfoundland English and Irish,Garland
Newfoundland English and Irish,Whitbourne
Newfoundland English and Irish,Job
Newfoundland English and Irish,Bowring
Newfoundland English and Irish,Ayre
Newfoundland English and Irish,Winter
Newfoundland English and Irish,Crosbie
Newfoundland English and Irish,Harvey
Newfoundland English and Irish,Outerbridge
Newfoundland English and Irish,Monroe
Newfoundland English and Irish,Squires
Newfoundland English and Irish,Cashin
Newfoundland English and Irish,Kent
Newfoundland English and Irish,Furlong
Newfoundland English and Irish,Hickman
Newfoundland English and Irish,Baird
Newfoundland English and Irish,Goodridge
Newfoundland English and Irish,Grieve
Newfoundland English and Irish,Rendell
Newfoundland English and Irish,Rorke
Canadien Catholic,Tessier
Canadien Catholic,Létourneau
Canadien Catholic,Bellerose
Canadien Catholic,Trudel
Canadien Catholic,Lacoste
Canadien Catholic,Beaubien
Canadien Catholic,Taschereau
Canadien Catholic,Chapais
Canadien Catholic,Langelier
Canadien Catholic,Turgeon
Canadien Catholic,Rouleau
Canadien Catholic,Masson
Canadien Catholic,Dorion
Canadien Catholic,Fournier
Canadien Catholic,Gagnon
Canadien Catholic,Bouchard
Canadien Catholic,Mercier
Canadien Catholic,Marchand
Canadien Catholic,Casgrain
Canadien Catholic,Parent
Anglo-Scots Montréal Commercial,Blaikie
Anglo-Scots Montréal Commercial,Allan
Anglo-Scots Montréal Commercial,Torrance
Anglo-Scots Montréal Commercial,Drummond
Anglo-Scots Montréal Commercial,Angus
Anglo-Scots Montréal Commercial,Greenshields
Anglo-Scots Montréal Commercial,Meredith
Anglo-Scots Montréal Commercial,Macpherson
Anglo-Scots Montréal Commercial,Ewing
Anglo-Scots Montréal Commercial,Dawes
Anglo-Scots Montréal Commercial,Reford
Anglo-Scots Montréal Commercial,Hosmer
Anglo-Scots Montréal Commercial,McIntyre
Anglo-Scots Montréal Commercial,Frothingham
Anglo-Scots Montréal Commercial,Gault
Jewish Montréal,Pereira
Jewish Montréal,Hart
Jewish Montréal,Joseph
Jewish Montréal,David
Jewish Montréal,deSola
Jewish Montréal,Ascher
Jewish Montréal,Moss
Jewish Montréal,Judah
Jewish Montréal,Levy
Jewish Montréal,Solomon
Jewish Montréal,Benjamin
Jewish Montréal,Hays
Jewish Montréal,Jacobs
Jewish Montréal,Abrahams
Jewish Montréal,Nathan
Jewish Montréal,Cohen
Jewish Montréal,Rosenberg
Jewish Montréal,Vineberg
Eastern Townships Loyalist,Galt
Eastern Townships Loyalist,Felton
Eastern Townships Loyalist,Pomroy
Eastern Townships Loyalist,Heneker
Eastern Townships Loyalist,Brooks
Eastern Townships Loyalist,Hale
Eastern Townships Loyalist,Terrill
Eastern Townships Loyalist,Foster
Eastern Townships Loyalist,Bowen
Eastern Townships Loyalist,Sanborn
Eastern Townships Loyalist,Cushing
Eastern Townships Loyalist,Farwell
Eastern Townships Loyalist,Whitcher
Eastern Townships Loyalist,Morrill
Eastern Townships Loyalist,Colby
Eastern Townships Loyalist,Pope
Eastern Townships Loyalist,Baker
Eastern Townships Loyalist,Kendall
Eastern Townships Loyalist,Sewell
Eastern Townships Loyalist,Merry
Innu and Cree,Mestokosho
Innu and Cree,Vollant
Innu and Cree,Pinette
Innu and Cree,Grégoire
Innu and Cree,Bacon
Innu and Cree,Fontaine
Innu and Cree,Ashini
Innu and Cree,Régis
Innu and Cree,Blacksmith
Innu and Cree,Coon-Come
Innu and Cree,Awashish
Innu and Cree,Iserhoff
Innu and Cree,Mianscum
Innu and Cree,Neeposh
Innu and Cree,Trapper
Innu and Cree,Bosum
Innu and Cree,Shecapio
Innu and Cree,Gull
Innu and Cree,Petawabano
Innu and Cree,Cheezo
Huron-Wendat and Kanien'kehá:ka,Picard
Huron-Wendat and Kanien'kehá:ka,Sioui
Huron-Wendat and Kanien'kehá:ka,Gros-Louis
Huron-Wendat and Kanien'kehá:ka,Vincent
Huron-Wendat and Kanien'kehá:ka,Bastien
Huron-Wendat and Kanien'kehá:ka,Delisle
Huron-Wendat and Kanien'kehá:ka,Deer
Huron-Wendat and Kanien'kehá:ka,Beauvais
Huron-Wendat and Kanien'kehá:ka,Jacobs
Huron-Wendat and Kanien'kehá:ka,Montour
Huron-Wendat and Kanien'kehá:ka,Diabo
Huron-Wendat and Kanien'kehá:ka,Rice
Huron-Wendat and Kanien'kehá:ka,Norton
Huron-Wendat and Kanien'kehá:ka,Two-Axe
Huron-Wendat and Kanien'kehá:ka,Phillips
Huron-Wendat and Kanien'kehá:ka,Stacey
Huron-Wendat and Kanien'kehá:ka,Lazare
Huron-Wendat and Kanien'kehá:ka,Goodleaf
Huron-Wendat and Kanien'kehá:ka,Mayo
Huron-Wendat and Kanien'kehá:ka,Zachary
Scots Presbyterian,Macdonell
Scots Presbyterian,Cattanach
Scots Presbyterian,Chisholm
Scots Presbyterian,McLennan
Scots Presbyterian,Fraser
Scots Presbyterian,McMillan
Scots Presbyterian,Kennedy
Scots Presbyterian,Grant
Scots Presbyterian,Ross
Scots Presbyterian,McPherson
Scots Presbyterian,Robertson
Scots Presbyterian,Munro
Scots Presbyterian,McIntosh
Scots Presbyterian,Gillies
Scots Presbyterian,Cameron
Scots Presbyterian,McRae
Scots Presbyterian,Urquhart
Scots Presbyterian,Sinclair
Scots Presbyterian,Ferguson
Scots Presbyterian,Bethune
Irish Protestant (Orange),Gowan
Irish Protestant (Orange),Boyd
Irish Protestant (Orange),Whitney
Irish Protestant (Orange),Hughes
Irish Protestant (Orange),Dundas
Irish Protestant (Orange),Ferguson
Irish Protestant (Orange),Armstrong
Irish Protestant (Orange),Carleton
Irish Protestant (Orange),Hamilton
Irish Protestant (Orange),Irwin
Irish Protestant (Orange),Elliott
Irish Protestant (Orange),Hincks
Irish Protestant (Orange),Hodgins
Irish Protestant (Orange),Stinson
Irish Protestant (Orange),Wallace
Irish Protestant (Orange),Boulton
Irish Protestant (Orange),Beatty
Irish Protestant (Orange),McMaster
Irish Protestant (Orange),Burrows
Irish Protestant (Orange),Trimble
Franco-Ontarian,Labelle
Franco-Ontarian,Ouimet
Franco-Ontarian,Lamoureux
Franco-Ontarian,Séguin
Franco-Ontarian,Charbonneau
Franco-Ontarian,Landriault
Franco-Ontarian,Bélanger
Franco-Ontarian,Cousineau
Franco-Ontarian,Pilon
Franco-Ontarian,Gauthier
Franco-Ontarian,Larocque
Franco-Ontarian,Groulx
Franco-Ontarian,Latour
Franco-Ontarian,Sauvé
Franco-Ontarian,Rochon
Franco-Ontarian,Caron
Franco-Ontarian,Tremblay
Franco-Ontarian,Desmarais
Franco-Ontarian,Proulx
Franco-Ontarian,Bourgeois
Black Underground Railroad Descent,Delany
Black Underground Railroad Descent,Shadd
Black Underground Railroad Descent,Henson
Black Underground Railroad Descent,Rapier
Black Underground Railroad Descent,Abbott
Black Underground Railroad Descent,Ward
Black Underground Railroad Descent,Bibb
Black Underground Railroad Descent,Lightfoot
Black Underground Railroad Descent,Holland
Black Underground Railroad Descent,Robbins
Black Underground Railroad Descent,Riley
Black Underground Railroad Descent,Hubbard
Black Underground Railroad Descent,Grosse
Black Underground Railroad Descent,Johnson
Black Underground Railroad Descent,Freeman
Black Underground Railroad Descent,Shreve
Black Underground Railroad Descent,Prince
Black Underground Railroad Descent,Nelson
Black Underground Railroad Descent,Lucas
Black Underground Railroad Descent,Talbot
Mennonite and Pennsylvania German,Reesor
Mennonite and Pennsylvania German,Eby
Mennonite and Pennsylvania German,Erb
Mennonite and Pennsylvania German,Snyder
Mennonite and Pennsylvania German,Shantz
Mennonite and Pennsylvania German,Bricker
Mennonite and Pennsylvania German,Brubacher
Mennonite and Pennsylvania German,Weber
Mennonite and Pennsylvania German,Martin
Mennonite and Pennsylvania German,Bauman
Mennonite and Pennsylvania German,Cressman
Mennonite and Pennsylvania German,Schneider
Mennonite and Pennsylvania German,Wideman
Mennonite and Pennsylvania German,Hoover
Mennonite and Pennsylvania German,Hostetler
Mennonite and Pennsylvania German,Musselman
Mennonite and Pennsylvania German,Bowman
Mennonite and Pennsylvania German,Stauffer
Mennonite and Pennsylvania German,Shoemaker
Mennonite and Pennsylvania German,Kolb
Anishinaabe,Shawanaga
Anishinaabe,Pegahmagabow
Anishinaabe,Copegog
Anishinaabe,Big-Canoe
Anishinaabe,Sandy
Anishinaabe,Assance
Anishinaabe,Snache
Anishinaabe,Nadjiwon
Anishinaabe,Debassige
Anishinaabe,Manitowabi
Anishinaabe,Trudeau
Anishinaabe,Corbiere
Anishinaabe,Keeshig
Anishinaabe,Jones
Anishinaabe,Wawia
Anishinaabe,Kakegamic
Anishinaabe,Fiddler
Anishinaabe,Beardy
Anishinaabe,Sakchekapo
Anishinaabe,Kanate
Haudenosaunee,Brant
Haudenosaunee,Johnson
Haudenosaunee,Hill
Haudenosaunee,Martin
Haudenosaunee,Maracle
Haudenosaunee,Loft
Haudenosaunee,Green
Haudenosaunee,Claus
Haudenosaunee,Smoke
Haudenosaunee,Powless
Haudenosaunee,Jamieson
Haudenosaunee,Montour
Haudenosaunee,Doxtator
Haudenosaunee,Bomberry
Haudenosaunee,Sero
Haudenosaunee,Skye
Haudenosaunee,Thomas
Haudenosaunee,Longboat
Haudenosaunee,Elliott
Haudenosaunee,Staats
Toronto Industrial and Commercial,Wallace
Toronto Industrial and Commercial,Cawthra
Toronto Industrial and Commercial,Cox
Toronto Industrial and Commercial,Jarvis
Toronto Industrial and Commercial,Denison
Toronto Industrial and Commercial,Cayley
Toronto Industrial and Commercial,Ridout
Toronto Industrial and Commercial,Baldwin
Toronto Industrial and Commercial,Boulton
Toronto Industrial and Commercial,Worts
Toronto Industrial and Commercial,Northrup
Métis,Letendre
Métis,Dumont
Métis,Bruce
Métis,Bird
Métis,Grant
Métis,Nault
Métis,Fisher
Métis,Lépine
Métis,Delorme
Métis,Carrière
Métis,Goulet
Métis,Lagimodière
Métis,Parenteau
Métis,Ouellette
Métis,Fiddler
Métis,Bremner
Métis,Trottier
Métis,Sayer
Métis,Nolin
Cree and Saulteaux,Cardinal
Cree and Saulteaux,Sinclair
Cree and Saulteaux,McKay
Cree and Saulteaux,Ballantyne
Cree and Saulteaux,Beardy
Cree and Saulteaux,Cook
Cree and Saulteaux,Bear
Cree and Saulteaux,Ahenakew
Cree and Saulteaux,Kakakaway
Cree and Saulteaux,Sanderson
Cree and Saulteaux,Ross
Cree and Saulteaux,Morin
Cree and Saulteaux,Bird
Cree and Saulteaux,Crowe
Blackfoot Confederacy,Running-Rabbit
Blackfoot Confederacy,Weasel-Head
Blackfoot Confederacy,Calf-Robe
Blackfoot Confederacy,Many-Guns
Blackfoot Confederacy,Yellow-Horn
Blackfoot Confederacy,Big-Plume
Blackfoot Confederacy,Little-Bear
Blackfoot Confederacy,Eagle-Speaker
Blackfoot Confederacy,Fox
Blackfoot Confederacy,Bull-Shield
Blackfoot Confederacy,Heavy-Runner
Blackfoot Confederacy,Black-Plume
Blackfoot Confederacy,Wolf-Collar
Blackfoot Confederacy,Good-Striker
Blackfoot Confederacy,Spotted-Eagle
Blackfoot Confederacy,Water-Chief
Blackfoot Confederacy,Crane-Bear
Blackfoot Confederacy,Three-Suns
Ontario-British Settler,Ashworth
Ontario-British Settler,Lockhart
Ontario-British Settler,Polkinghorne
Ontario-British Settler,Ross
Ontario-British Settler,Macleod
Ontario-British Settler,Hanna
Ontario-British Settler,Kerr
Ontario-British Settler,Cochrane
Ontario-British Settler,Bulyea
Ontario-British Settler,Forget
Ontario-British Settler,Strachan
Scots and Selkirk Settler,Bannatyne
Scots and Selkirk Settler,Inkster
Scots and Selkirk Settler,Sutherland
Scots and Selkirk Settler,Matheson
Scots and Selkirk Settler,MacBeth
Scots and Selkirk Settler,McDermot
Scots and Selkirk Settler,Polson
Scots and Selkirk Settler,Gunn
Scots and Selkirk Settler,Munroe
Scots and Selkirk Settler,Sinclair
Scots and Selkirk Settler,Logan
Scots and Selkirk Settler,Kennedy
Scots and Selkirk Settler,Fraser
Scots and Selkirk Settler,Murray
Scots and Selkirk Settler,MacKay
Scots and Selkirk Settler,Ross
Scots and Selkirk Settler,Isbister
Scots and Selkirk Settler,Cowan
Scots and Selkirk Settler,Bannerman
Scots and Selkirk Settler,Flett
Ukrainian,Hryhoryshyn
Ukrainian,Yaremko
Ukrainian,Shandro
Ukrainian,Pylypiw
Ukrainian,Eleniak
Ukrainian,Melnyk
Ukrainian,Boyko
Ukrainian,Kowalchuk
Ukrainian,Hawrelak
Ukrainian,Romaniuk
Ukrainian,Stefaniuk
Ukrainian,Bodnar
Ukrainian,Kostash
Ukrainian,Yuzyk
Ukrainian,Hlynka
Ukrainian,Dmytriw
Ukrainian,Kuzyk
Ukrainian,Wasylyshyn
Ukrainian,Maksymiuk
Ukrainian,Tkachuk
Mennonite,Klassen
Mennonite,Reimer
Mennonite,Friesen
Mennonite,Penner
Mennonite,Dyck
Mennonite,Wiens
Mennonite,Toews
Mennonite,Loewen
Mennonite,Enns
Mennonite,Hiebert
Mennonite,Neufeld
Mennonite,Janzen
Mennonite,Epp
Mennonite,Thiessen
Mennonite,Kroeker
Mennonite,Warkentin
Mennonite,Sawatzky
Mennonite,Funk
Mennonite,Peters
Mennonite,Wall
Icelandic,Thorlakson
Icelandic,Bjornson
Icelandic,Sigurdson
Icelandic,Johannesson
Icelandic,Gudmundson
Icelandic,Einarsson
Icelandic,Arnason
Icelandic,Vopni
Icelandic,Stefansson
Icelandic,Bardal
Icelandic,Olafson
Icelandic,Halldorson
Icelandic,Magnusson
Icelandic,Eyjolfson
Icelandic,Kristjanson
Icelandic,Thordarson
Icelandic,Oleson
Icelandic,Petursson
Icelandic,Sveinsson
Icelandic,Jonasson
French-Canadian Prairie,Lacerte
French-Canadian Prairie,Gauvreau
French-Canadian Prairie,Provencher
French-Canadian Prairie,Royal
French-Canadian Prairie,Prud'homme
French-Canadian Prairie,Boyer
French-Canadian Prairie,Lavallée
French-Canadian Prairie,Bernier
French-Canadian Prairie,Beaupré
French-Canadian Prairie,Turenne
French-Canadian Prairie,Gravel
French-Canadian Prairie,Lemieux
French-Canadian Prairie,Plamondon
French-Canadian Prairie,Trottier
French-Canadian Prairie,Béliveau
French-Canadian Prairie,Dumas
French-Canadian Prairie,Bertrand
French-Canadian Prairie,Sabourin
French-Canadian Prairie,Vermette
French-Canadian Prairie,Dubuc
Scandinavian,Halvorson
Scandinavian,Anderson
Scandinavian,Olson
Scandinavian,Nelson
Scandinavian,Hanson
Scandinavian,Ronning
Scandinavian,Solberg
Scandinavian,Berg
Scandinavian,Lund
Scandinavian,Dahl
Scandinavian,Lindberg
Scandinavian,Haugen
Scandinavian,Nygaard
Scandinavian,Erickson
Scandinavian,Torgerson
Scandinavian,Rasmussen
Scandinavian,Knutson
Scandinavian,Bergh
Scandinavian,Fosse
Scandinavian,Lien
Jewish Farm Colony,Vickar
Jewish Farm Colony,Feldman
Jewish Farm Colony,Hoffer
Jewish Farm Colony,Usiskin
Jewish Farm Colony,Rosenblatt
Jewish Farm Colony,Kaplan
Jewish Farm Colony,Rubin
Jewish Farm Colony,Segal
Jewish Farm Colony,Silverman
Jewish Farm Colony,Barish
Jewish Farm Colony,Cantor
Jewish Farm Colony,Heppner
Jewish Farm Colony,Adelman
Jewish Farm Colony,Berger
Jewish Farm Colony,Brownstone
Jewish Farm Colony,Lipton
Jewish Farm Colony,Wolinsky
Jewish Farm Colony,Goldstein
Jewish Farm Colony,Freedman
Jewish Farm Colony,Sachs
Doukhobor,Popoff
Doukhobor,Kalmakoff
Doukhobor,Konkin
Doukhobor,Malakoff
Doukhobor,Podovinikoff
Doukhobor,Chernoff
Doukhobor,Makortoff
Doukhobor,Postnikoff
Doukhobor,Rezansoff
Doukhobor,Zibin
Doukhobor,Voykin
Doukhobor,Sherstobitoff
Doukhobor,Stoochnoff
Doukhobor,Kazakoff
Doukhobor,Hoodicoff
Doukhobor,Perepelkin
Doukhobor,Semenoff
Doukhobor,Kabatoff
Doukhobor,Wishlow
Mormon Southern Alberta,Card
Mormon Southern Alberta,Woolf
Mormon Southern Alberta,Hinman
Mormon Southern Alberta,Wood
Mormon Southern Alberta,Merrill
Mormon Southern Alberta,Snow
Mormon Southern Alberta,Tanner
Mormon Southern Alberta,Brandley
Mormon Southern Alberta,Layton
Mormon Southern Alberta,Pitcher
Mormon Southern Alberta,Ririe
Mormon Southern Alberta,Leavitt
Mormon Southern Alberta,Hammer
Mormon Southern Alberta,Cahoon
Mormon Southern Alberta,Bennion
Mormon Southern Alberta,Hansen
Mormon Southern Alberta,Redd
Mormon Southern Alberta,Duce
Mormon Southern Alberta,Bullock
Mormon Southern Alberta,Gibb
British and Anglo-Colonial,Fitzroy
British and Anglo-Colonial,Crane
British and Anglo-Colonial,Douglas
British and Anglo-Colonial,Helmcken
British and Anglo-Colonial,Pemberton
British and Anglo-Colonial,Rithet
British and Anglo-Colonial,Crease
British and Anglo-Colonial,Tolmie
British and Anglo-Colonial,Barnard
British and Anglo-Colonial,Cornwall
British and Anglo-Colonial,Musgrave
British and Anglo-Colonial,Ward
British and Anglo-Colonial,Prior
British and Anglo-Colonial,Todd
British and Anglo-Colonial,Pooley
British and Anglo-Colonial,Gillespie
Scots Coastal Commercial,Oppenheimer
Scots Coastal Commercial,Abbott
Scots Coastal Commercial,Hamilton
Scots Coastal Commercial,Rogers
Scots Coastal Commercial,Bell-Irving
Scots Coastal Commercial,Hendry
Scots Coastal Commercial,McLaren
Scots Coastal Commercial,Alexander
Scots Coastal Commercial,Mackenzie
Scots Coastal Commercial,McLagan
Scots Coastal Commercial,Hastings
Scots Coastal Commercial,Cambie
Scots Coastal Commercial,Bell
Scots Coastal Commercial,Spencer
Scots Coastal Commercial,Kerr
Scots Coastal Commercial,Buscombe
Scots Coastal Commercial,Ceperley
Scots Coastal Commercial,Sweeney
Scots Coastal Commercial,Keefer
Chinese,Lee
Chinese,Wong
Chinese,Chan
Chinese,Yip
Chinese,Lim
Chinese,Mah
Chinese,Louie
Chinese,Cumyow
Chinese,Chang
Chinese,Kwong
Chinese,Lum
Chinese,Won
Chinese,Jung
Chinese,Quan
Chinese,Tong
Chinese,Hong
Chinese,Wing
Chinese,Yuen
Chinese,Sing
Chinese,Foo
Japanese,Oikawa
Japanese,Kuno
Japanese,Homma
Japanese,Yamamoto
Japanese,Tanaka
Japanese,Nakamura
Japanese,Sato
Japanese,Kobayashi
Japanese,Shimizu
Japanese,Matsumoto
Japanese,Hayashi
Japanese,Inouye
Japanese,Kitagawa
Japanese,Miyazaki
Japanese,Nishimura
Japanese,Suzuki
Japanese,Uyeda
Japanese,Watanabe
Japanese,Fujimoto
Japanese,Morii
Punjabi Sikh,Singh
Punjabi Sikh,Kaur
Punjabi Sikh,Johal
Punjabi Sikh,Gill
Punjabi Sikh,Sidhu
Punjabi Sikh,Sandhu
Punjabi Sikh,Dhillon
Punjabi Sikh,Grewal
Punjabi Sikh,Brar
Punjabi Sikh,Mann
Punjabi Sikh,Bains
Punjabi Sikh,Atwal
Punjabi Sikh,Kang
Punjabi Sikh,Hundal
Punjabi Sikh,Rai
Punjabi Sikh,Toor
Punjabi Sikh,Sekhon
Punjabi Sikh,Dosanjh
Punjabi Sikh,Bhullar
Punjabi Sikh,Deol
Coast Salish,Sparrow
Coast Salish,Point
Coast Salish,Grant
Coast Salish,Joe
Coast Salish,Charlie
Coast Salish,George
Coast Salish,Baker
Coast Salish,Campbell
Coast Salish,Paull
Coast Salish,Lewis
Coast Salish,Williams
Coast Salish,Jacobs
Coast Salish,Nahanee
Coast Salish,Mathias
Coast Salish,Guerin
Coast Salish,Underwood
Coast Salish,Sam
Coast Salish,Peters
Coast Salish,Louie
Coast Salish,Modeste
Haida and Tsimshian,Davidson
Haida and Tsimshian,Collison
Haida and Tsimshian,Yeltatzie
Haida and Tsimshian,Russ
Haida and Tsimshian,Stevens
Haida and Tsimshian,Brown
Haida and Tsimshian,Wilson
Haida and Tsimshian,Cross
Haida and Tsimshian,Dixon
Haida and Tsimshian,Young
Haida and Tsimshian,Hill
Haida and Tsimshian,Bolton
Haida and Tsimshian,Kelly
Haida and Tsimshian,Dudoward
Haida and Tsimshian,Ridley
Haida and Tsimshian,Musgrave
Haida and Tsimshian,Helin
Haida and Tsimshian,Nelson
Haida and Tsimshian,Sankey
Interior Salish and Ktunaxa,Louis
Interior Salish and Ktunaxa,Pierre
Interior Salish and Ktunaxa,Michel
Interior Salish and Ktunaxa,Alexis
Interior Salish and Ktunaxa,Manuel
Interior Salish and Ktunaxa,Basil
Interior Salish and Ktunaxa,Paul
Interior Salish and Ktunaxa,Gregoire
Interior Salish and Ktunaxa,Eneas
Interior Salish and Ktunaxa,Terbasket
Interior Salish and Ktunaxa,Marchand
Interior Salish and Ktunaxa,Jules
Interior Salish and Ktunaxa,Casimir
Interior Salish and Ktunaxa,Seymour
Interior Salish and Ktunaxa,Bonneau
Interior Salish and Ktunaxa,Francois
Interior Salish and Ktunaxa,Squakin
Interior Salish and Ktunaxa,Gabriel
Interior Salish and Ktunaxa,Armstrong
Interior Salish and Ktunaxa,Teneese
Kanaka Hawaiian,Naukana
Kanaka Hawaiian,Kamai
Kanaka Hawaiian,Mahoi
Kanaka Hawaiian,Kahou
Kanaka Hawaiian,Peavine
Kanaka Hawaiian,Palua
Kanaka Hawaiian,Kalama
Kanaka Hawaiian,Nahu
Kanaka Hawaiian,Keave
Kanaka Hawaiian,Roland
Kanaka Hawaiian,Tahouney
Kanaka Hawaiian,Apnaut
Kanaka Hawaiian,Kahana
Kanaka Hawaiian,Lono
Kanaka Hawaiian,Hoalii
Kanaka Hawaiian,Puamana
Kanaka Hawaiian,Kaleo
Kanaka Hawaiian,Nawahine
Kanaka Hawaiian,Makana
Inuit,Akatsiak
Inuit,Kusugak
Inuit,Amagoalik
Inuit,Ipeelie
Inuit,Pitseolak
Inuit,Tagoona
Inuit,Anawak
Inuit,Qitsualik
Inuit,Arnakak
Inuit,Nungaq
Inuit,Kunuk
Inuit,Ishulutak
Inuit,Ittinuar
Inuit,Ootoova
Inuit,Piugattuk
Inuit,Panipakuttuk
Inuit,Tulugarjuk
Inuit,Qamaniq
Inuit,Sallualuk
Inuit,Tookalook
Dene,Erasmus
Dene,Blondin
Dene,Sangris
Dene,Beaulieu
Dene,Lafferty
Dene,Norwegian
Dene,Tsetta
Dene,Football
Dene,Drygeese
Dene,Mercredi
Dene,Nitsiza
Dene,Zoe
Dene,Rabesca
Dene,Wetrade
Dene,Betsina
Dene,Catholique
Dene,Casaway
Dene,Bonnetrouge
Dene,Tatti
Dene,Kotchea
Gwich'in and Hän,Trondek
Gwich'in and Hän,Isaac
Gwich'in and Hän,Silas
Gwich'in and Hän,Taylor
Gwich'in and Hän,Roberts
Gwich'in and Hän,Titus
Gwich'in and Hän,Kendi
Gwich'in and Hän,Vittrekwa
Gwich'in and Hän,Charlie
Gwich'in and Hän,Firth
Gwich'in and Hän,Nerysoo
Gwich'in and Hän,Semple
Gwich'in and Hän,Blake
Gwich'in and Hän,Koe
Gwich'in and Hän,Andre
Gwich'in and Hän,Kunnizzi
Gwich'in and Hän,Peter
Gwich'in and Hän,Njootli
Gwich'in and Hän,Frost
