id,house,fed_id,seat_order,hex,acquired_event_id,released_event_id
92,Bhullar,59010,2,#5abaa7,503,
93,Byrne,35062,1,#4d275d,508,
94,Meagher 2,35118,1,#64342b,523,
95,Langelier,10005,4,#55b446,530,
96,Bhullar,59009,3,#5abaa7,537,
97,Marchand,24034,1,#6d5131,541,
98,Bird,46004,5,#91b342,551,
99,Rochon,35093,4,#b641c8,565,
100,Bhullar,59021,4,#5abaa7,570,
101,Stefaniuk,46005,7,#82bd47,578,
102,Rochon,35026,5,#b641c8,585,
103,Rouleau,24011,5,#c2b53d,590,
104,Bhullar,59031,5,#5abaa7,592,
105,Pegahmagabow,35108,2,#3e46b6,594,
106,Cameron,35106,3,#bf7245,605,
107,Cardinal,46008,3,#d05d74,607,907
108,Skye,35006,1,#36557c,611,
109,Elliott,24057,5,#ac5353,612,
110,Mercier,24074,6,#9e884c,614,
111,Rouleau,24076,6,#c2b53d,638,
112,Marchand,24056,2,#b28553,643,
113,Proulx,35088,1,#538a38,645,
114,Langelier,10004,5,#55b446,652,
115,Worts,35060,1,#3a7e3c,666,
116,McLellan,11001,7,#c454aa,673,
117,Forbes,12007,5,#7265c8,676,
118,Proulx,24007,2,#85c167,682,
119,Wallace,35049,10,#54c0c0,684,882
120,Skye,35040,2,#5f86b9,698,
121,Benjamin,24008,7,#803cc3,706,
122,Worts,35012,2,#65b868,724,
123,Colby,24075,1,#376c76,725,
124,Bhullar,59026,6,#5abaa7,738,
125,Hendrie,35065,3,#5bbe86,754,
126,Byrne,35064,2,#8945a5,757,
127,Gillies,35097,1,#3b2370,762,
128,Forbes,12006,6,#7265c8,769,
129,Meagher 2,35119,2,#ab5a49,776,
130,Colby,24012,2,#5fa6b4,783,1170
131,Fairbanks,48017,1,#70296c,784,
132,Wallace,35050,11,#54c0c0,786,882
133,Forbes,12005,7,#7265c8,794,1029
134,Marchand,24038,3,#b28553,805,
135,Worts,35010,3,#65b868,807,
136,Lucas,35076,1,#712352,810,
137,Rochon,35120,6,#b641c8,822,
138,Proulx,35102,3,#85c167,833,
139,Cornwall,59014,7,#adb658,840,
140,Cameron,35058,4,#bf7245,842,
141,Dawes,24013,1,#955037,858,
142,Fairbanks,48019,2,#bb44b3,880,
143,Wallace 2,35050,1,#949438,882,
144,Wallace 2,35049,2,#c7c76b,882,
145,Wallace 2,35085,3,#c7c76b,882,
146,Wallace 2,35036,4,#c7c76b,882,
147,Wallace 2,35070,5,#c7c76b,882,
148,Stefaniuk,47005,8,#82bd47,885,
149,Hoover,24025,4,#4b8aaf,889,
150,Byrne,35063,3,#8945a5,893,
151,Bird,46008,6,#91b342,907,
152,Turgeon,24073,1,#798a38,918,
153,Cornwall,59024,8,#adb658,924,
154,Bhullar,60001,7,#5abaa7,930,
155,Proulx,24005,4,#85c167,935,
156,Turgeon,24004,2,#afc167,941,
157,Patterson,13010,4,#9e4c6d,954,
158,Meagher 2,35028,3,#ab5a49,959,
159,Dawes,24003,2,#c8836a,965,1020
160,Wallace 2,35059,6,#c7c76b,967,
161,Meagher,35104,3,#3ea87d,977,
162,Rouleau,24068,7,#c2b53d,984,
163,Byrne,35030,4,#8945a5,986,
164,Proulx,35052,5,#85c167,991,
165,Fairbanks,48035,3,#bb44b3,994,
166,Hendrie,35031,4,#5bbe86,1010,
167,Rouleau,24003,8,#c2b53d,1020,
168,Elliott,24001,6,#ac5353,1023,
169,Bouchard,24010,8,#4ca962,1026,
170,McLellan,12005,8,#c454aa,1029,
171,Gillies,35095,2,#633cbe,1041,
172,Lucas,35075,2,#bf3b8a,1043,
173,Hays,24048,4,#506cb9,1051,
174,Mercier,24031,7,#9e884c,1068,1177
175,McLellan,13002,9,#c454aa,1069,
176,Langelier,62001,6,#55b446,1071,
177,Pegahmagabow,35107,3,#3e46b6,1075,
178,Skye,35086,3,#5f86b9,1077,
179,Proulx,35077,6,#85c167,1078,
180,Lucas,35017,3,#bf3b8a,1083,
181,Dawes,24027,2,#c8836a,1084,
182,Meagher 2,35090,4,#ab5a49,1104,
183,Gillies,35092,3,#633cbe,1107,
184,Cameron,35056,5,#bf7245,1119,
185,Gillies 2,35003,1,#608529,1132,
186,Turgeon,24045,3,#afc167,1151,
187,Elliott,35002,7,#ac5353,1153,
188,Cornwall,59027,9,#adb658,1155,
189,Hendrie,35029,5,#5bbe86,1161,
190,Worts,35018,4,#65b868,1169,
191,Benjamin,24012,8,#803cc3,1170,
192,Benjamin,24031,9,#803cc3,1177,
193,McLellan,13006,10,#c454aa,1180,1316
194,Worts,35011,5,#65b868,1190,
195,Gillies,35094,4,#633cbe,1194,
196,Fairbanks,48028,4,#bb44b3,1196,
197,Patterson,13009,5,#9e4c6d,1204,
198,Meagher 2,35021,5,#ab5a49,1212,
199,Wallace 2,35019,7,#c7c76b,1220,
200,Wallace,35115,7,#54c0c0,1223,
201,Byrne,35066,5,#8945a5,1232,
202,Gillies 2,35068,2,#96c84c,1238,
203,Rouleau,24014,9,#c2b53d,1247,
204,Bhullar,48026,8,#5abaa7,1250,
205,Furlong,24035,1,#489730,1262,
206,Dawes,24069,3,#c8836a,1284,
207,Hoover,35079,5,#4b8aaf,1294,
208,Hendrie,35061,6,#5bbe86,1302,
209,Pegahmagabow,35045,4,#3e46b6,1303,
210,Skye,35074,4,#5f86b9,1305,
211,Proulx,24047,7,#85c167,1307,
212,Forbes,13006,7,#7265c8,1316,
213,Byrne,35105,6,#8945a5,1322,
214,Turgeon,24078,4,#afc167,1332,
215,Meagher,35084,4,#3ea87d,1339,
216,Byrne,35022,7,#8945a5,1346,
217,Worts,35025,6,#65b868,1348,
218,Fairbanks,48027,5,#bb44b3,1349,
219,Benjamin,24046,10,#803cc3,1355,
220,Worts,35113,7,#65b868,1365,
221,Bhullar,61001,9,#5abaa7,1376,
222,Wallace 2,35016,8,#c7c76b,1384,
223,Turgeon,24063,5,#afc167,1385,
224,Beauvais,24041,1,#2a8937,1432,
