season_no,house,capital,influence,cohesion,ambition,holdings
45,Benjamin,40,66,100,4,5
45,Bird,34,31,78,9,1
45,Bouchard,41,32,100,10,6
45,Cameron,47,36,68,6,1
45,Cornwall,37,54,93,1,6
45,Elliott,42,55,100,1,4
45,Forbes,66,43,89,5,1
45,Hays,46,42,75,2,3
45,Hoover,35,65,100,1,1
45,Langelier,34,31,100,2,3
45,McLellan,18,47,100,10,5
45,Meagher,23,90,100,6,1
45,Mercier,39,39,99,8,4
45,Patterson,29,46,69,4,2
45,Rochon,34,51,76,8,2
45,Stefaniuk,33,52,100,8,6
45,Wallace,22,35,100,4,8
50,Benjamin,23,78,100,4,6
50,Bird,32,26,78,9,2
50,Bouchard,31,27,95,10,7
50,Cameron,41,36,78,6,1
50,Cardinal,36,45,75,5,2
50,Cornwall,51,54,93,1,6
50,Elliott,50,55,95,1,4
50,Forbes,51,48,100,5,2
50,Hays,26,48,83,2,4
50,Hendrie,49,42,68,1,1
50,Hoover,30,60,100,1,2
50,Langelier,55,37,100,2,3
50,McLellan,29,47,100,10,5
50,Meagher,39,90,100,6,1
50,Mercier,42,50,100,8,4
50,Patterson,45,42,77,4,2
50,Rochon,55,56,92,8,2
50,Rouleau,39,31,70,10,2
50,Stefaniuk,31,59,95,8,6
50,Wallace,43,25,95,4,9
55,Benjamin,28,74,100,4,6
55,Bhullar,54,31,77,10,1
55,Bird,43,24,94,9,3
55,Bouchard,37,27,100,10,7
55,Cameron,31,31,83,6,2
55,Cardinal,34,55,88,5,2
55,Cornwall,49,60,100,1,6
55,Cousineau,31,35,76,7,2
55,Elliott,56,55,100,1,4
55,Forbes,32,54,100,5,4
55,Hays,24,60,91,2,4
55,Hendrie,49,64,76,1,1
55,Hoover,43,60,100,1,2
55,Langelier,56,47,95,2,3
55,McLellan,25,53,100,10,6
55,Meagher,42,90,95,6,1
55,Mercier,45,50,100,8,5
55,Patterson,15,54,77,4,3
55,Pegahmagabow,34,37,73,1,1
55,Rochon,48,62,92,8,3
55,Rouleau,27,21,78,10,4
55,Stefaniuk,42,65,100,8,6
55,Wallace,36,25,100,4,9
60,Benjamin,52,79,100,4,6
60,Bhullar,45,16,77,10,4
60,Bird,37,29,94,9,5
60,Bouchard,17,51,100,10,7
60,Byrne,65,45,71,2,1
60,Cameron,47,36,100,6,2
60,Cardinal,50,61,98,5,2
60,Cornwall,47,60,100,1,6
60,Elliott,51,55,100,1,4
60,Forbes,50,56,100,5,4
60,Hays,14,60,84,2,3
60,Hendrie,32,59,81,1,2
60,Hoover,36,60,100,1,3
60,Langelier,36,53,100,2,4
60,Marchand,70,37,62,4,1
60,McLellan,33,53,100,10,6
60,Meagher,33,100,95,6,2
60,Meagher 2,38,38,89,10,1
60,Mercier,48,56,100,8,5
60,Patterson,31,54,85,4,3
60,Pegahmagabow,54,37,81,1,1
60,Rochon,51,52,95,8,4
60,Rouleau,43,21,99,10,4
60,Stefaniuk,53,61,100,8,6
60,Wallace,42,31,100,4,9
65,Benjamin,50,85,100,4,6
65,Bhullar,38,17,77,10,5
65,Bird,45,36,100,9,5
65,Bouchard,25,51,100,10,7
65,Byrne,43,50,86,2,1
65,Cameron,27,42,95,6,3
65,Cardinal,56,62,95,5,3
65,Cornwall,32,66,100,1,6
65,Elliott,26,67,100,1,5
65,Forbes,50,62,100,5,4
65,Hays,17,50,92,2,3
65,Hendrie,48,60,86,1,2
65,Hoover,36,56,95,1,3
65,Langelier,37,53,100,2,5
65,Marchand,63,33,75,4,2
65,McLellan,44,53,100,10,6
65,Meagher,36,100,95,6,2
65,Meagher 2,33,38,100,10,1
65,Mercier,28,61,100,8,6
65,Patterson,42,55,85,4,3
65,Pegahmagabow,19,59,81,1,2
65,Proulx,37,21,78,4,1
65,Rochon,42,52,95,8,5
65,Rouleau,37,21,95,10,6
65,Skye,32,33,77,8,1
65,Stefaniuk,38,56,95,8,7
65,Wallace,45,31,100,4,9
65,Worts,47,30,74,1,1
70,Benjamin,38,75,100,4,7
70,Bhullar,39,17,85,10,6
70,Bird,38,48,100,9,5
70,Bouchard,40,56,100,10,6
70,Byrne,49,51,94,2,2
70,Cameron,38,48,100,6,3
70,Cardinal,64,62,100,5,3
70,Colby,51,33,77,2,1
70,Cornwall,43,66,100,1,6
70,Elliott,36,52,100,1,5
70,Forbes,53,52,100,5,5
70,Gillies,42,35,66,5,1
70,Hays,28,56,97,2,3
70,Hendrie,28,66,96,1,3
70,Hoover,47,56,100,1,3
70,Langelier,35,59,85,2,5
70,Marchand,46,50,88,4,2
70,McLellan,40,59,100,10,7
70,Meagher,26,100,100,6,2
70,Meagher 2,44,49,100,10,1
70,Mercier,36,61,80,8,6
70,Patterson,42,55,100,4,3
70,Pegahmagabow,38,75,81,1,2
70,Proulx,42,21,83,4,2
70,Rochon,40,55,100,8,5
70,Rouleau,43,21,95,10,6
70,Skye,38,29,82,8,2
70,Stefaniuk,46,56,100,8,7
70,Wallace,30,32,100,4,10
70,Worts,56,30,84,1,2
75,Benjamin,36,75,100,4,7
75,Bhullar,39,12,98,10,6
75,Bird,43,54,100,10,5
75,Bouchard,71,46,100,10,6
75,Byrne,52,62,100,2,2
75,Cameron,21,54,100,6,4
75,Cardinal,39,72,100,6,3
75,Colby,26,45,90,2,2
75,Cornwall,26,72,100,1,7
75,Dawes,39,31,78,1,1
75,Elliott,39,58,100,1,5
75,Fairbanks,32,43,82,9,2
75,Forbes,21,53,75,5,7
75,Gillies,32,42,71,5,1
75,Hays,36,56,100,2,3
75,Hendrie,28,71,100,1,3
75,Hoover,79,56,100,1,3
75,Langelier,30,65,96,2,5
75,Lucas,42,47,69,6,1
75,Marchand,26,56,98,4,3
75,McLellan,43,59,85,10,7
75,Meagher,32,100,100,6,2
75,Meagher 2,62,34,100,10,2
75,Mercier,34,61,80,8,6
75,Patterson,42,51,100,4,3
75,Pegahmagabow,41,76,91,1,2
75,Proulx,45,11,96,4,3
75,Rochon,20,60,95,8,6
75,Rouleau,38,28,100,10,6
75,Skye,33,40,95,8,2
75,Stefaniuk,62,56,100,8,7
75,Wallace,31,38,100,4,11
75,Worts,26,31,100,1,3
80,Benjamin,19,87,100,4,7
80,Bhullar,55,8,100,10,7
80,Bird,61,60,100,10,6
80,Bouchard,56,46,100,10,6
80,Byrne,27,58,100,2,4
80,Cameron,53,54,100,6,4
80,Cardinal,42,78,100,6,2
80,Colby,24,57,95,2,2
80,Cornwall,37,67,100,1,8
80,Dawes,24,38,96,1,2
80,Elliott,47,53,100,1,5
80,Fairbanks,33,50,82,9,3
80,Forbes,19,59,80,5,7
80,Gillies,43,38,81,5,1
80,Hays,52,56,100,2,3
80,Hendrie,47,77,100,1,3
80,Hoover,37,72,100,1,4
80,Langelier,28,67,100,2,5
80,Lucas,40,47,90,6,1
80,Marchand,34,57,100,4,3
80,McLellan,38,65,90,10,7
80,Meagher,35,96,100,6,3
80,Meagher 2,42,29,100,10,3
80,Mercier,37,61,85,8,6
80,Patterson,37,51,100,4,4
80,Pegahmagabow,39,88,91,1,2
80,Proulx,28,17,100,4,5
80,Rochon,36,55,100,8,6
80,Rouleau,62,18,95,10,7
80,Skye,44,40,100,8,2
80,Stefaniuk,37,56,75,8,8
80,Turgeon,27,21,80,9,2
80,Wallace,16,44,95,4,6
80,Wallace 2,38,4,85,4,6
80,Worts,47,36,100,1,3
85,Benjamin,19,82,95,4,7
85,Bhullar,28,24,100,10,7
85,Bird,49,61,100,10,6
85,Bouchard,31,63,100,10,7
85,Byrne,35,58,100,2,4
85,Cameron,46,54,100,6,4
85,Cardinal,22,96,100,7,2
85,Colby,40,64,100,1,2
85,Cornwall,45,67,100,1,8
85,Dawes,52,28,100,1,2
85,Elliott,35,53,100,1,6
85,Fairbanks,33,56,100,9,3
85,Forbes,43,59,80,6,6
85,Gillies,28,33,94,5,3
85,Hays,35,62,100,2,4
85,Hendrie,35,72,100,1,4
85,Hoover,45,67,100,1,4
85,Langelier,29,62,100,2,6
85,Lucas,28,42,95,6,3
85,Marchand,37,63,95,4,3
85,McLellan,31,55,90,10,9
85,Meagher,53,76,100,6,3
85,Meagher 2,35,24,100,10,4
85,Mercier,25,61,93,8,7
85,Patterson,53,51,100,4,4
85,Pegahmagabow,27,94,91,1,3
85,Proulx,34,12,100,4,6
85,Rochon,34,67,95,8,6
85,Rouleau,17,23,100,10,8
85,Skye,48,40,100,8,3
85,Stefaniuk,48,62,65,8,8
85,Turgeon,35,16,98,9,2
85,Wallace,27,50,100,4,6
85,Wallace 2,39,15,90,4,6
85,Worts,60,36,100,1,3
90,Benjamin,35,82,98,4,9
90,Bhullar,44,24,95,10,7
90,Bird,47,62,100,10,6
90,Bouchard,29,64,100,10,7
90,Byrne,46,58,100,2,4
90,Cameron,16,54,100,6,5
90,Cardinal,17,96,90,7,2
90,Colby,45,65,95,1,1
90,Cornwall,43,63,100,1,9
90,Dawes,40,33,100,1,2
90,Elliott,36,53,95,1,7
90,Fairbanks,28,58,100,9,4
90,Forbes,44,65,80,6,6
90,Gillies,31,28,100,5,4
90,Gillies 2,46,47,80,10,1
90,Hays,20,74,100,2,4
90,Hendrie,28,67,100,1,5
90,Hoover,36,73,75,1,4
90,Langelier,34,47,90,2,6
90,Lucas,36,42,100,6,3
90,Marchand,35,75,100,4,3
90,McLellan,27,61,90,10,10
90,Meagher,51,71,100,6,3
90,Meagher 2,30,20,100,10,5
90,Mercier,23,67,93,8,6
90,Patterson,49,67,100,4,5
90,Pegahmagabow,38,94,91,1,3
90,Proulx,45,12,100,4,6
90,Rochon,35,85,95,8,6
90,Rouleau,41,28,100,10,8
90,Skye,41,45,100,8,3
90,Stefaniuk,33,74,81,8,8
90,Turgeon,33,17,93,9,3
90,Wallace,46,56,100,4,6
90,Wallace 2,50,10,98,4,7
90,Worts,48,36,95,1,5
95,Benjamin,33,94,98,4,9
95,Bhullar,37,25,100,10,8
95,Bird,42,69,100,10,6
95,Bouchard,37,64,95,10,7
95,Byrne,32,58,100,2,6
95,Cameron,44,49,100,6,5
95,Cardinal,46,100,80,8,2
95,Colby,48,71,100,0,1
95,Cornwall,41,68,100,1,9
95,Dawes,31,44,100,1,3
95,Elliott,47,53,100,1,7
95,Fairbanks,46,53,100,9,4
95,Forbes,47,78,80,7,7
95,Furlong,71,33,75,9,1
95,Gillies,39,38,100,5,4
95,Gillies 2,49,37,88,10,2
95,Hays,28,74,100,2,4
95,Hendrie,37,62,100,1,6
95,Hoover,45,68,75,1,5
95,Langelier,42,48,80,2,6
95,Lucas,55,48,100,6,3
95,Marchand,38,76,95,4,3
95,McLellan,30,67,88,10,9
95,Meagher,57,71,95,6,3
95,Meagher 2,35,26,100,10,5
95,Mercier,21,68,100,8,6
95,Patterson,49,62,100,4,5
95,Pegahmagabow,39,89,96,1,4
95,Proulx,25,13,100,4,7
95,Rochon,20,91,100,8,6
95,Rouleau,29,38,100,10,9
95,Skye,26,50,100,8,4
95,Stefaniuk,36,80,81,8,8
95,Turgeon,41,7,95,9,4
95,Wallace,42,57,100,4,7
95,Wallace 2,43,22,100,4,7
95,Worts,67,36,95,1,5
100,Beauvais,47,48,68,8,1
100,Benjamin,44,87,100,4,10
100,Bhullar,28,37,100,10,9
100,Bird,27,81,100,10,6
100,Bouchard,32,60,100,10,7
100,Byrne,28,59,78,2,7
100,Cameron,45,65,100,6,5
100,Cardinal,26,100,90,8,2
100,Colby,74,66,100,0,1
100,Cornwall,44,74,100,1,9
100,Dawes,42,50,100,1,3
100,Elliott,66,53,100,1,7
100,Fairbanks,42,53,100,9,5
100,Forbes,42,68,85,7,7
100,Furlong,97,19,75,9,1
100,Gillies,42,51,100,5,4
100,Gillies 2,77,27,96,10,2
100,Hays,31,80,100,2,4
100,Hendrie,53,62,100,1,6
100,Hoover,35,80,88,1,5
100,Langelier,40,59,75,2,6
100,Lucas,43,66,100,7,3
100,Marchand,36,82,95,4,3
100,McLellan,39,67,68,10,9
100,Meagher,37,66,95,6,4
100,Meagher 2,25,32,95,10,5
100,Mercier,34,69,100,8,6
100,Patterson,34,63,100,4,5
100,Pegahmagabow,58,89,96,1,4
100,Proulx,54,13,100,4,7
100,Rochon,44,81,100,8,6
100,Rouleau,34,38,100,10,9
100,Skye,42,50,100,8,4
100,Stefaniuk,44,75,81,8,8
100,Turgeon,29,13,95,9,5
100,Wallace,35,57,100,4,7
100,Wallace 2,43,12,100,4,8
100,Worts,32,42,95,1,7
105,Beauvais,35,53,81,8,2
105,Benjamin,52,87,95,4,6
105,Benjamin 2,26,43,66,4,4
105,Bhullar,39,37,100,10,9
105,Bird,35,76,100,10,6
105,Bouchard,22,72,100,10,7
105,Byrne,31,65,94,2,7
105,Cameron,35,65,100,6,6
105,Cardinal,52,95,98,9,2
105,Chapais,38,34,61,6,1
105,Colby,78,77,100,0,1
105,Cornwall,42,70,100,1,9
105,Dawes,70,40,95,1,3
105,Elliott,49,59,100,1,8
105,Fairbanks,32,59,95,9,5
105,Forbes,40,74,95,7,7
105,Furlong,73,25,80,9,2
105,Gillies,48,52,95,5,5
105,Gillies 2,70,27,100,10,3
105,Hays,52,81,100,2,4
105,Hendrie,69,63,100,1,6
105,Hoover,25,87,100,1,5
105,Langelier,51,54,81,2,7
105,Lucas,61,66,100,7,3
105,Marchand,39,82,100,4,3
105,McLellan,37,73,58,10,9
105,Meagher,43,72,95,6,4
105,Meagher 2,33,32,100,10,5
105,Mercier,27,69,85,8,7
105,Patterson,47,58,100,4,5
105,Pegahmagabow,36,100,96,1,4
105,Proulx,49,31,95,4,7
105,Rochon,35,87,100,8,7
105,Rouleau,37,43,100,10,9
105,Skye,45,50,100,8,4
105,Smoke,59,45,70,7,1
105,Stefaniuk,24,75,86,8,9
105,Turgeon,45,13,100,9,5
105,Wallace,20,58,100,4,8
105,Wallace 2,46,7,100,4,9
105,Worts,35,42,95,1,7
110,Beauvais,49,48,81,8,2
110,Benjamin,32,93,100,4,6
110,Benjamin 2,39,44,66,4,4
110,Bhullar,29,52,100,10,10
110,Bird,30,72,95,10,6
110,Bouchard,38,72,98,10,8
110,Byrne,29,62,94,2,7
110,Cameron,46,67,100,6,7
110,Cardinal,60,100,100,9,2
110,Chapais,46,30,74,6,2
110,Colby,64,93,100,0,1
110,Cornwall,42,55,100,1,9
110,Dawes,40,52,100,1,4
110,Dickson,35,22,84,2,1
110,Elliott,37,59,100,1,9
110,Forbes,48,79,98,7,7
110,Furlong,61,35,85,9,2
110,Gillies,43,58,100,5,5
110,Gillies 2,25,43,100,10,4
110,Hays,45,81,90,2,4
110,Hendrie,72,63,95,1,6
110,Hoover,35,72,100,1,5
110,Langelier,52,54,86,2,8
110,Langelier 2,45,32,65,5,1
110,Lucas,52,81,100,8,3
110,Marchand,37,94,100,3,3
110,McLellan,25,73,63,10,10
110,Meagher,26,84,100,6,5
110,Meagher 2,44,22,100,10,6
110,Mercier,43,59,83,8,7
110,Patterson,50,64,100,4,5
110,Pegahmagabow,39,95,100,1,4
110,Proulx,47,37,100,4,7
110,Rochon,20,100,100,8,7
110,Rouleau,35,38,100,10,6
110,Rouleau 2,31,19,79,10,4
110,Skye,20,56,100,8,5
110,Smoke,29,40,91,7,3
110,Stefaniuk,55,65,96,8,9
110,Turgeon,53,20,100,8,5
110,Wallace,15,64,100,4,8
110,Wallace 2,26,7,100,4,10
110,Worts,25,54,100,1,7
115,Beauvais,29,54,81,8,3
115,Benjamin,17,100,100,4,8
115,Benjamin 2,50,39,66,4,4
115,Bhullar,30,52,100,10,11
115,Bird,33,57,100,10,6
115,Bouchard,34,77,100,10,9
115,Byrne,53,62,100,2,7
115,Cameron,54,57,100,6,7
115,Cardinal,91,90,100,10,2
115,Chapais,31,41,95,6,2
115,Colby,62,99,100,0,1
115,Cornwall,45,61,100,1,9
115,Dawes,21,47,100,1,5
115,Dickson,43,18,97,2,2
115,Elliott,40,65,100,1,9
115,Forbes,23,91,100,7,8
115,Furlong,46,47,85,10,2
115,Gillies,41,70,100,5,5
115,Gillies 2,25,43,100,10,4
115,Hays,56,81,85,2,4
115,Hendrie,37,69,90,1,8
115,Hoover,46,62,95,1,6
115,Jarvis,39,36,73,7,1
115,Langelier,79,54,91,2,7
115,Langelier 2,35,61,73,5,1
115,Lucas,71,87,100,8,3
115,Marchand,42,85,100,3,3
115,McLellan,26,85,73,10,10
115,Meagher,24,75,100,6,5
115,Meagher 2,42,22,100,10,6
115,Mercier,33,76,83,8,6
115,Patterson,74,64,100,4,5
115,Pegahmagabow,24,100,100,1,4
115,Proulx,37,43,100,5,7
115,Rochon,36,95,100,8,7
115,Rouleau,51,38,95,10,6
115,Rouleau 2,46,14,89,10,4
115,Skye,20,56,100,8,4
115,Smoke,40,40,100,7,3
115,Stefaniuk,25,60,84,8,6
115,Stefaniuk 2,57,26,63,8,1
115,Stefaniuk 3,12,30,69,8,5
115,Turgeon,43,32,100,8,5
115,Uniacke,57,27,52,7,2
115,Wallace,15,64,100,4,8
115,Wallace 2,34,8,100,4,10
115,Worts,26,66,100,1,7
120,Beauvais,29,54,64,8,3
120,Benjamin,20,95,75,4,8
120,Benjamin 2,58,44,56,4,4
120,Bhullar,28,58,100,10,11
120,Bird,39,57,100,10,6
120,Bouchard,32,77,98,10,17
120,Byrne,87,57,100,2,7
120,Cameron,53,52,100,6,8
120,Cardinal,86,96,95,10,2
120,Chapais,24,53,98,6,2
120,Cogswell,48,23,64,8,1
120,Colby,57,99,100,0,1
120,Cornwall,53,61,100,1,5
120,Cornwall 2,42,25,81,1,4
120,Dawes,24,53,100,1,5
120,Dickson,36,24,100,2,2
120,Dyck,35,14,58,6,2
120,Elliott,38,65,100,1,9
120,Furlong,57,53,80,10,2
120,Gillies,65,55,100,5,5
120,Gillies 2,39,49,100,10,4
120,Hays,54,88,85,1,4
120,Hendrie,27,61,90,1,8
120,Hoover,41,63,100,1,6
120,Jarvis,52,31,86,7,2
120,Langelier,78,69,86,2,7
120,Langelier 2,23,67,96,6,1
120,Lucas,84,87,100,9,2
120,Marchand,35,98,100,2,3
120,McLellan,29,85,91,10,10
120,Meagher,35,75,95,5,5
120,Meagher 2,27,40,100,10,6
120,Mercier,36,72,83,8,6
120,Patterson,49,76,100,4,6
120,Pegahmagabow,42,90,100,1,4
120,Proulx,35,55,100,5,6
120,Rochon,26,95,100,8,7
120,Rouleau,47,49,100,9,6
120,Rouleau 2,31,26,84,10,4
120,Shawanaga,46,40,75,3,1
120,Skye,18,61,100,8,4
120,Smoke,33,40,95,7,4
120,Stefaniuk,41,50,100,8,6
120,Stefaniuk 2,37,16,73,8,3
120,Stefaniuk 3,25,31,90,8,5
120,Turgeon,46,38,90,7,6
120,Uniacke,48,44,57,7,3
120,Wallace,34,64,100,4,8
120,Wallace 2,37,14,100,4,10
120,Worts,29,69,100,1,8
125,Beauvais,27,54,39,7,3
125,Benjamin,28,95,96,4,9
125,Benjamin 2,51,49,74,4,3
125,Bhullar,34,70,100,10,11
125,Bird,76,52,95,10,6
125,Bouchard,28,83,98,10,18
125,Byrne,65,68,100,2,7
125,Cameron,31,57,100,6,10
125,Cardinal,92,96,95,10,2
125,Chapais,27,53,100,6,2
125,Cogswell,26,13,69,8,4
125,Colby,52,100,100,0,1
125,Cornwall,38,61,100,1,6
125,Cornwall 2,40,20,99,1,5
125,Dawes,32,58,100,1,5
125,Dickson,44,24,100,1,2
125,Dyck,25,14,87,6,2
125,Elliott,49,71,100,2,5
125,Elliott 2,22,38,79,2,4
125,Furlong,62,48,80,10,2
125,Gillies,58,67,100,5,5
125,Gillies 2,24,61,100,10,4
125,Hays,57,78,90,1,4
125,Hendrie,25,67,100,0,8
125,Hoover,39,59,100,2,6
125,Jarvis,46,36,81,7,3
125,Langelier,93,59,91,2,6
125,Langelier 2,31,72,100,6,1
125,Lucas,77,99,100,9,2
125,Marchand,41,98,100,2,3
125,McLellan,25,96,86,10,10
125,Meagher,25,87,95,5,5
125,Meagher 2,25,41,100,10,7
125,Mercier,59,72,58,7,7
125,Patterson,44,89,100,4,6
125,Pegahmagabow,27,91,100,1,5
125,Proulx,20,68,95,6,6
125,Rochon,47,86,85,8,7
125,Rouleau,40,56,100,9,6
125,Rouleau 2,46,22,94,9,4
125,Shawanaga,44,46,83,3,1
125,Skye,31,61,95,9,4
125,Smoke,28,51,100,7,5
125,Stefaniuk,49,45,100,6,6
125,Stefaniuk 2,32,23,78,8,3
125,Stefaniuk 3,28,27,100,8,5
125,Turgeon,54,45,90,7,6
125,Uniacke,38,62,57,7,3
125,Wallace,43,65,70,4,7
125,Wallace 2,32,10,100,4,11
125,Worts,19,75,100,2,7
130,Beauvais,27,54,37,7,3
130,Benjamin,31,100,100,4,8
130,Benjamin 2,36,61,92,5,3
130,Bhullar,42,82,100,10,11
130,Bird,87,58,100,10,6
130,Bouchard,31,89,100,10,18
130,Byrne,58,63,100,2,7
130,Cameron,42,63,95,6,10
130,Cardinal,50,100,85,10,3
130,Chapais,25,59,100,6,2
130,Cogswell,44,3,82,8,4
130,Colby,66,100,100,0,1
130,Cornwall,26,67,100,1,7
130,Cornwall 2,58,10,100,1,5
130,Dawes,35,63,100,1,5
130,Dickson,49,19,95,1,2
130,Dyck,26,9,95,6,4
130,Elliott,52,72,100,2,5
130,Elliott 2,53,41,84,2,4
130,Furlong,57,54,85,10,2
130,Gillies,54,67,95,5,6
130,Gillies 2,24,62,100,9,4
130,Hays,25,94,75,1,3
130,Hendrie,40,63,100,0,7
130,Hoover,29,71,100,2,6
130,Jarvis,44,42,89,7,3
130,Langelier,78,74,91,2,6
130,Langelier 2,65,67,100,7,1
130,Lucas,80,94,100,10,2
130,Marchand,39,100,100,1,3
130,McLellan,28,100,94,10,10
130,Meagher,25,87,100,4,5
130,Meagher 2,39,41,100,10,7
130,Mercier,44,77,56,7,7
130,Patterson,47,89,100,5,6
130,Pegahmagabow,25,87,100,1,5
130,Proulx,15,63,100,6,6
130,Rochon,73,86,93,8,7
130,Rouleau,46,68,98,9,6
130,Rouleau 2,36,34,100,9,4
130,Shawanaga,37,58,88,2,1
130,Skye,21,62,95,9,4
130,Smoke,62,46,100,6,5
130,Stefaniuk,32,45,60,6,6
130,Stefaniuk 2,30,23,68,8,4
130,Stefaniuk 3,47,37,100,8,5
130,Turgeon,44,64,95,6,7
130,Uniacke,36,68,75,8,3
130,Wallace,38,66,99,4,7
130,Wallace 2,50,0,100,4,12
130,Worts,19,65,100,2,8
135,Beauvais,53,44,30,6,3
135,Benjamin,21,100,100,5,8
135,Benjamin 2,57,62,87,5,3
135,Bhullar,47,67,100,10,11
135,Bird,87,69,100,10,6
135,Bouchard,49,79,98,10,18
135,Byrne,58,75,100,2,7
135,Cameron,42,58,100,7,11
135,Cardinal,43,100,95,10,3
135,Chapais,38,65,100,7,2
135,Cogswell,37,21,92,7,4
135,Colby,51,100,100,0,1
135,Cornwall,34,73,100,1,7
135,Cornwall 2,53,10,100,1,5
135,Dawes,30,76,100,1,5
135,Dickson,47,31,100,0,2
135,Dyck,40,21,100,6,4
135,Elliott,76,72,100,3,5
135,Elliott 2,53,43,97,3,4
135,Furlong,57,55,73,10,2
135,Gillies,52,64,95,5,6
135,Gillies 2,22,69,100,9,4
135,Hays,20,94,88,1,3
135,Hendrie,61,63,100,0,7
135,Hoover,19,83,100,3,6
135,Jarvis,22,48,94,7,4
135,Langelier,53,86,99,1,6
135,Langelier 2,45,78,100,7,1
135,Lucas,65,100,100,10,2
135,Marchand,50,100,100,1,3
135,McLellan,39,100,94,10,10
135,Meagher,31,99,100,4,5
135,Meagher 2,19,58,100,10,7
135,Mercier,47,94,51,6,7
135,Murray,39,29,66,4,1
135,Patterson,45,95,100,5,6
135,Pegahmagabow,28,83,100,2,5
135,Proulx,18,64,100,7,6
135,Rochon,71,100,98,8,7
135,Rouleau,26,74,100,9,7
135,Rouleau 2,34,51,100,8,4
135,Shawanaga,33,74,93,2,1
135,Skye,24,68,100,10,4
135,Smoke,45,56,100,6,5
135,Stefaniuk,48,45,53,6,6
135,Stefaniuk 2,38,28,43,8,5
135,Stefaniuk 3,45,49,100,8,4
135,Turgeon,19,71,95,6,7
135,Uniacke,46,63,63,8,2
135,Wallace,46,66,99,4,7
135,Wallace 2,43,10,100,4,12
135,Worts,45,55,100,3,8
140,Beauvais,58,45,38,6,3
140,Benjamin,27,90,65,5,7
140,Benjamin 2,47,53,90,6,3
140,Bhullar,60,62,100,10,11
140,Bird,57,79,90,10,6
140,Bouchard,65,74,68,10,18
140,Byrne,69,81,100,2,7
140,Cameron,32,69,100,7,12
140,Cardinal,49,100,100,10,3
140,Chapais,39,88,90,7,2
140,Cogswell,40,28,100,7,4
140,Colby,69,95,100,0,1
140,Cornwall,37,79,100,1,7
140,Cornwall 2,31,31,100,1,5
140,Dawes,33,81,100,1,6
140,Dickson,45,43,100,0,2
140,Dyck,33,39,100,6,4
