event_id,house,role,personal_year
281,Bouchard,participant,
282,Bouchard,participant,
282,Hays,participant,
283,Meagher,participant,
284,Rochon,participant,
285,Elliott,participant,
286,Wallace,participant,
287,Wallace,participant,
288,Benjamin,participant,
288,Mercier,participant,
289,Benjamin,participant,1882
289,Mercier,participant,1882
290,Bouchard,participant,1894
290,McLellan,participant,1894
291,Hays,participant,
292,McLellan,participant,
293,Langelier,participant,
294,Meagher,participant,
294,Wallace,participant,
295,Forbes,participant,
296,Forbes,participant,
297,Rochon,participant,
298,Patterson,participant,
299,Bouchard,participant,
299,McLellan,participant,
300,Cornwall,participant,
301,Langelier,participant,
302,Hoover,participant,
303,Forbes,participant,
304,Forbes,participant,1891
304,Langelier,participant,1891
305,Patterson,participant,
306,Cameron,participant,
