season_no,seed,json_path,houses_after,ridings_after,rules_version,created_at
29,1867,scenarios/new/seasons/0029.json,12,32,0.7,2026-09-08T13:29:24+00:00
30,1867,scenarios/new/seasons/0030.json,12,34,0.7,2026-09-08T13:29:24+00:00
31,1867,scenarios/new/seasons/0031.json,12,36,0.7,2026-09-08T13:29:24+00:00
32,1867,scenarios/new/seasons/0032.json,12,38,0.7,2026-09-08T13:29:24+00:00
33,1867,scenarios/new/seasons/0033.json,12,38,0.7,2026-09-08T13:29:24+00:00
34,1867,scenarios/new/seasons/0034.json,13,40,0.7,2026-09-08T13:29:24+00:00
35,1867,scenarios/new/seasons/0035.json,13,41,0.7,2026-09-08T13:29:24+00:00
36,1867,scenarios/new/seasons/0036.json,14,43,0.7,2026-09-08T13:29:24+00:00
37,1867,scenarios/new/seasons/0037.json,14,44,0.7,2026-09-08T13:29:24+00:00
38,1867,scenarios/new/seasons/0038.json,14,47,0.7,2026-09-08T13:29:24+00:00
39,1867,scenarios/new/seasons/0039.json,14,48,0.7,2026-09-08T13:29:24+00:00
40,1867,scenarios/new/seasons/0040.json,15,51,0.7,2026-09-08T13:29:24+00:00
41,1867,scenarios/new/seasons/0041.json,16,52,0.7,2026-09-08T13:29:24+00:00
42,1867,scenarios/new/seasons/0042.json,16,54,0.8,2026-09-08T13:29:24+00:00
43,1867,scenarios/new/seasons/0043.json,16,56,0.8,2026-09-08T13:29:24+00:00
44,1867,scenarios/new/seasons/0044.json,17,58,0.8,2026-09-08T13:29:24+00:00
45,1867,scenarios/new/seasons/0045.json,17,59,0.8,2026-09-08T13:29:24+00:00
46,1867,scenarios/new/seasons/0046.json,18,62,0.8,2026-09-08T13:29:24+00:00
47,1867,scenarios/new/seasons/0047.json,19,65,0.8,2026-09-08T13:29:24+00:00
48,1867,scenarios/new/seasons/0048.json,19,65,0.8,2026-09-08T13:29:24+00:00
49,1867,scenarios/new/seasons/0049.json,20,70,0.8,2026-09-08T13:29:24+00:00
50,1867,scenarios/new/seasons/0050.json,20,71,0.8,2026-09-08T13:29:24+00:00
51,1867,scenarios/new/seasons/0051.json,20,71,0.8,2026-09-08T13:29:24+00:00
52,1867,scenarios/new/seasons/0052.json,21,77,0.8,2026-09-08T13:29:24+00:00
53,1867,scenarios/new/seasons/0053.json,22,81,0.8,2026-09-08T13:29:24+00:00
54,1867,scenarios/new/seasons/0054.json,23,84,0.8,2026-09-08T13:29:24+00:00
55,1867,scenarios/new/seasons/0055.json,23,85,0.8,2026-09-08T13:29:24+00:00
56,1867,scenarios/new/seasons/0056.json,24,90,0.8,2026-09-08T13:29:24+00:00
57,1867,scenarios/new/seasons/0057.json,25,91,0.8,2026-09-08T13:29:24+00:00
58,1867,scenarios/new/seasons/0058.json,26,94,0.8,2026-09-08T13:29:24+00:00
59,1867,scenarios/new/seasons/0059.json,26,95,0.8,2026-09-08T13:29:24+00:00
60,1867,scenarios/new/seasons/0060.json,25,95,0.8,2026-09-08T13:29:25+00:00
61,1867,scenarios/new/seasons/0061.json,25,100,0.8,2026-09-08T13:29:25+00:00
62,1867,scenarios/new/seasons/0062.json,26,103,0.8,2026-09-08T13:29:25+00:00
63,1867,scenarios/new/seasons/0063.json,26,105,0.8,2026-09-08T13:29:25+00:00
64,1867,scenarios/new/seasons/0064.json,27,108,0.8,2026-09-08T13:29:25+00:00
65,1867,scenarios/new/seasons/0065.json,28,110,0.8,2026-09-08T13:29:25+00:00
66,1867,scenarios/new/seasons/0066.json,28,113,0.8,2026-09-08T13:29:25+00:00
67,1867,scenarios/new/seasons/0067.json,28,115,0.8,2026-09-08T13:29:25+00:00
68,1867,scenarios/new/seasons/0068.json,29,117,0.8,2026-09-08T13:29:25+00:00
69,1867,scenarios/new/seasons/0069.json,29,118,0.8,2026-09-08T13:29:25+00:00
70,1867,scenarios/new/seasons/0070.json,30,121,0.8,2026-09-08T13:29:25+00:00
71,1867,scenarios/new/seasons/0071.json,31,125,0.8,2026-09-08T13:29:25+00:00
72,1867,scenarios/new/seasons/0072.json,32,130,0.8,2026-09-08T13:29:25+00:00
73,1867,scenarios/new/seasons/0073.json,32,132,0.8,2026-09-08T13:29:25+00:00
74,1867,scenarios/new/seasons/0074.json,33,135,0.8,2026-09-08T13:29:25+00:00
75,1867,scenarios/new/seasons/0075.json,33,136,0.8,2026-09-08T13:29:25+00:00
76,1867,scenarios/new/seasons/0076.json,34,139,0.8,2026-09-08T13:29:25+00:00
77,1867,scenarios/new/seasons/0077.json,35,140,0.8,2026-09-08T13:29:25+00:00
78,1867,scenarios/new/seasons/0078.json,35,144,0.8,2026-09-08T13:29:25+00:00
79,1867,scenarios/new/seasons/0079.json,35,148,0.8,2026-09-08T13:29:25+00:00
80,1867,scenarios/new/seasons/0080.json,35,153,0.8,2026-09-08T13:29:25+00:00
81,1867,scenarios/new/seasons/0081.json,35,154,0.8,2026-09-08T13:29:25+00:00
82,1867,scenarios/new/seasons/0082.json,35,158,0.8,2026-09-08T13:29:25+00:00
83,1867,scenarios/new/seasons/0083.json,35,159,0.8,2026-09-08T13:29:25+00:00
84,1867,scenarios/new/seasons/0084.json,35,167,0.8,2026-09-08T13:29:25+00:00
85,1867,scenarios/new/seasons/0085.json,35,169,0.8,2026-09-08T13:29:25+00:00
86,1867,scenarios/new/seasons/0086.json,36,171,0.8,2026-09-08T13:29:25+00:00
87,1867,scenarios/new/seasons/0087.json,36,172,0.8,2026-09-08T13:29:25+00:00
88,1867,scenarios/new/seasons/0088.json,36,176,0.8,2026-09-08T13:29:25+00:00
89,1867,scenarios/new/seasons/0089.json,36,180,0.8,2026-09-08T13:29:26+00:00
90,1867,scenarios/new/seasons/0090.json,36,183,0.8,2026-09-08T13:29:26+00:00
91,1867,scenarios/new/seasons/0091.json,36,186,0.8,2026-09-08T13:29:26+00:00
92,1867,scenarios/new/seasons/0092.json,37,189,0.8,2026-09-08T13:29:26+00:00
93,1867,scenarios/new/seasons/0093.json,37,190,0.8,2026-09-08T13:29:26+00:00
94,1867,scenarios/new/seasons/0094.json,37,195,0.8,2026-09-08T13:29:26+00:00
95,1867,scenarios/new/seasons/0095.json,37,197,0.8,2026-09-08T13:29:26+00:00
96,1867,scenarios/new/seasons/0096.json,37,201,0.8,2026-09-08T13:29:26+00:00
97,1867,scenarios/new/seasons/0097.json,37,203,0.8,2026-09-08T13:29:26+00:00
98,1867,scenarios/new/seasons/0098.json,37,206,0.8,2026-09-08T13:29:26+00:00
99,1867,scenarios/new/seasons/0099.json,37,206,0.8,2026-09-08T13:29:26+00:00
100,1867,scenarios/new/seasons/0100.json,38,207,0.8,2026-09-08T13:29:26+00:00
101,1867,scenarios/new/seasons/0101.json,39,209,0.8,2026-09-08T13:29:26+00:00
102,1867,scenarios/new/seasons/0102.json,39,214,0.8,2026-09-08T13:29:26+00:00
103,1867,scenarios/new/seasons/0103.json,39,215,0.8,2026-09-08T13:29:26+00:00
104,1867,scenarios/new/seasons/0104.json,39,218,0.8,2026-09-08T13:29:26+00:00
105,1867,scenarios/new/seasons/0105.json,41,221,0.8,2026-09-08T13:29:26+00:00
106,1867,scenarios/new/seasons/0106.json,41,221,0.8,2026-09-08T13:29:26+00:00
107,1867,scenarios/new/seasons/0107.json,42,226,0.8,2026-09-08T13:29:26+00:00
108,1867,scenarios/new/seasons/0108.json,41,226,0.8,2026-09-08T13:29:26+00:00
109,1867,scenarios/new/seasons/0109.json,42,229,0.8,2026-09-08T13:29:26+00:00
110,1867,scenarios/new/seasons/0110.json,43,234,0.8,2026-09-08T13:29:27+00:00
111,1867,scenarios/new/seasons/0111.json,43,239,0.8,2026-09-08T13:29:27+00:00
112,1867,scenarios/new/seasons/0112.json,44,242,0.8,2026-09-08T13:29:27+00:00
113,1867,scenarios/new/seasons/0113.json,45,246,0.8,2026-09-08T13:29:27+00:00
114,1867,scenarios/new/seasons/0114.json,46,248,0.8,2026-09-08T13:29:27+00:00
115,1867,scenarios/new/seasons/0115.json,47,248,0.8,2026-09-08T13:29:27+00:00
116,1867,scenarios/new/seasons/0116.json,48,253,0.8,2026-09-08T13:29:27+00:00
117,1867,scenarios/new/seasons/0117.json,49,256,0.8,2026-09-08T13:29:27+00:00
118,1867,scenarios/new/seasons/0118.json,49,257,0.8,2026-09-08T13:29:27+00:00
119,1867,scenarios/new/seasons/0119.json,49,257,0.8,2026-09-08T13:29:27+00:00
120,1867,scenarios/new/seasons/0120.json,50,259,0.8,2026-09-08T13:29:27+00:00
121,1867,scenarios/new/seasons/0121.json,50,262,0.8,2026-09-08T13:29:27+00:00
122,1867,scenarios/new/seasons/0122.json,50,262,0.8,2026-09-08T13:29:27+00:00
123,1867,scenarios/new/seasons/0123.json,50,265,0.8,2026-09-08T13:29:27+00:00
124,1867,scenarios/new/seasons/0124.json,51,267,0.8,2026-09-08T13:29:27+00:00
125,1867,scenarios/new/seasons/0125.json,51,270,0.8,2026-09-08T13:29:28+00:00
126,1867,scenarios/new/seasons/0126.json,51,271,0.8,2026-09-08T13:29:28+00:00
127,1867,scenarios/new/seasons/0127.json,51,271,0.8,2026-09-08T13:29:28+00:00
128,1867,scenarios/new/seasons/0128.json,51,272,0.8,2026-09-08T13:29:28+00:00
129,1867,scenarios/new/seasons/0129.json,51,273,0.8,2026-09-08T13:29:28+00:00
130,1867,scenarios/new/seasons/0130.json,51,276,0.8,2026-09-08T13:29:28+00:00
131,1867,scenarios/new/seasons/0131.json,51,278,0.8,2026-09-08T13:29:28+00:00
132,1867,scenarios/new/seasons/0132.json,51,278,0.8,2026-09-08T13:29:28+00:00
133,1867,scenarios/new/seasons/0133.json,51,278,0.8,2026-09-08T13:29:28+00:00
134,1867,scenarios/new/seasons/0134.json,51,278,0.8,2026-09-08T13:29:28+00:00
135,1867,scenarios/new/seasons/0135.json,52,279,0.8,2026-09-08T13:29:28+00:00
136,1867,scenarios/new/seasons/0136.json,52,278,0.8,2026-09-08T13:29:28+00:00
137,1867,scenarios/new/seasons/0137.json,52,278,0.8,2026-09-08T13:29:28+00:00
138,1867,scenarios/new/seasons/0138.json,52,278,0.8,2026-09-08T13:29:28+00:00
139,1867,scenarios/new/seasons/0139.json,52,280,0.8,2026-09-08T13:29:29+00:00
140,1867,scenarios/new/seasons/0140.json,52,282,0.8,2026-09-08T13:29:29+00:00
141,1867,scenarios/new/seasons/0141.json,53,283,0.8,2026-09-08T13:29:29+00:00
142,1867,scenarios/new/seasons/0142.json,53,283,0.8,2026-09-08T13:29:29+00:00
143,1867,scenarios/new/seasons/0143.json,53,284,0.8,2026-09-08T13:29:29+00:00
144,1867,scenarios/new/seasons/0144.json,54,286,0.8,2026-09-08T13:29:29+00:00
145,1867,scenarios/new/seasons/0145.json,55,286,0.8,2026-09-08T13:29:29+00:00
146,1867,scenarios/new/seasons/0146.json,56,287,0.8,2026-09-08T13:29:29+00:00
147,1867,scenarios/new/seasons/0147.json,56,288,0.8,2026-09-08T13:29:29+00:00
148,1867,scenarios/new/seasons/0148.json,58,290,0.8,2026-09-08T13:29:29+00:00
149,1867,scenarios/new/seasons/0149.json,58,291,0.8,2026-09-08T13:29:29+00:00
150,1867,scenarios/new/seasons/0150.json,58,291,0.8,2026-09-08T13:29:29+00:00
