id,turn_id,kind,era_cohort,title,narrative,mechanical_delta,source,created_at
28,,societal,confederation,Long Depression Reaches Canada,Season 11 · Viscount Wallace of Perth meets Long Depression Reaches Canada and exploits.,"{""season"": 11, ""response"": ""Exploit"", ""roll"": 4, ""personal_year"": 1874, ""magnitude"": ""Major"", ""tag"": ""Conservative""}",engine,2026-09-08 13:29:24
29,,societal,confederation,Pacific Scandal,Season 11 · Baron Stefaniuk of Emerson meets Pacific Scandal and stands aside.,"{""season"": 11, ""response"": ""Neutral"", ""roll"": 1, ""personal_year"": 1873, ""magnitude"": ""Significant"", ""tag"": ""Progressive""}",engine,2026-09-08 13:29:24
30,,relational,confederation,Baron Stefaniuk of Emerson and Viscount Wallace of Perth are joined by marriage,"Season 11 · Kost Stefaniuk marries George Wallace, binding Baron Stefaniuk of Emerson to Viscount Wallace of Perth.","{""season"": 11, ""marker"": ""kin""}",engine,2026-09-08 13:29:24
31,,societal,confederation,Confederation Extension (Manitoba Act),Season 11 · Viscount Benjamin of Bellechasse meets Confederation Extension (Manitoba Act) and resists.,"{""season"": 11, ""response"": ""Resist"", ""roll"": 2, ""personal_year"": 1870, ""magnitude"": ""Major"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:24
32,,societal,confederation,Red River Resistance,Season 11 · Viscount Mercier de Rimouski meets Red River Resistance and exploits.,"{""season"": 11, ""response"": ""Exploit"", ""roll"": 5, ""personal_year"": 1869, ""magnitude"": ""Major"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:24
33,,expansion,confederation,Viscount Mercier de Rimouski takes Repentigny,Season 11 · Viscount Mercier de Rimouski takes Repentigny.,"{""season"": 11, ""riding"": ""Repentigny"", ""roll"": 8}",engine,2026-09-08 13:29:24
34,,founding,confederation,Viscount Hays of Beloeil founded,"Season 11 · Viscount Hays of Beloeil is created, seated at Notre-Dame-de-Grâce—Westmount.","{""season"": 11, ""stats"": {""capital"": 54, ""influence"": 28, ""cohesion"": 79, ""ambition"": 2}, ""community"": ""Jewish Montr\u00e9al"", ""tag"": ""Progressive""}",engine,2026-09-08 13:29:24
35,,societal,confederation,National Policy,Season 12 · Baron Elliott of Glengarry meets National Policy and resists.,"{""season"": 12, ""response"": ""Resist"", ""roll"": 2, ""personal_year"": 1878, ""magnitude"": ""Significant"", ""tag"": ""Conservative""}",engine,2026-09-08 13:29:24
36,,succession,confederation,Baron Elliott of Glengarry: clean succession,Season 12 · Mary Elliott succeeds to Baron Elliott of Glengarry.,"{""season"": 12, ""nature"": ""clean"", ""cause"": ""death""}",engine,2026-09-08 13:29:24
37,,relational,confederation,Viscount Wallace of Perth corresponds with Baron Stefaniuk of Emerson,Season 12 · Viscount Wallace of Perth opens a correspondence with Baron Stefaniuk of Emerson.,"{""season"": 12, ""marker"": ""kin""}",engine,2026-09-08 13:29:24
38,,societal,confederation,British Columbia Joins; Treaty 1 Signed,Season 12 · Viscount Benjamin of Bellechasse meets British Columbia Joins; Treaty 1 Signed and exploits.,"{""season"": 12, ""response"": ""Exploit"", ""roll"": 4, ""personal_year"": 1871, ""magnitude"": ""Significant"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:24
39,,societal,confederation,Confederation Extension (Manitoba Act),Season 12 · Viscount Mercier de Rimouski meets Confederation Extension (Manitoba Act) and resists.,"{""season"": 12, ""response"": ""Resist"", ""roll"": 3, ""personal_year"": 1870, ""magnitude"": ""Major"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:24
40,,societal,confederation,Red River Resistance,Season 12 · Viscount Bouchard de Terrebonne meets Red River Resistance and resists.,"{""season"": 12, ""response"": ""Resist"", ""roll"": 2, ""personal_year"": 1869, ""magnitude"": ""Major"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:24
41,,societal,confederation,Indian Act,Season 13 · Viscount Wallace of Perth meets Indian Act and exploits.,"{""season"": 13, ""response"": ""Exploit"", ""roll"": 5, ""personal_year"": 1876, ""magnitude"": ""Major"", ""tag"": ""Conservative""}",engine,2026-09-08 13:29:24
42,,expansion,confederation,Viscount Wallace of Perth takes St. Catharines,Season 13 · Viscount Wallace of Perth takes St. Catharines.,"{""season"": 13, ""riding"": ""St. Catharines"", ""roll"": 9}",engine,2026-09-08 13:29:24
43,,societal,confederation,Indian Act,Season 13 · Baron Stefaniuk of Emerson meets Indian Act and resists.,"{""season"": 13, ""response"": ""Resist"", ""roll"": 2, ""personal_year"": 1876, ""magnitude"": ""Major"", ""tag"": ""Conservative""}",engine,2026-09-08 13:29:24
44,,societal,confederation,British Columbia Joins; Treaty 1 Signed,Season 13 · Viscount Mercier de Rimouski meets British Columbia Joins; Treaty 1 Signed and exploits.,"{""season"": 13, ""response"": ""Exploit"", ""roll"": 5, ""personal_year"": 1871, ""magnitude"": ""Significant"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:24
45,,other,confederation,Viscount Mercier de Rimouski names an heir,Season 13 · Viscount Mercier de Rimouski names Hyacinthe Mercier heir.,"{""season"": 13, ""heir_age"": 24, ""role"": ""heir""}",engine,2026-09-08 13:29:24
46,,societal,confederation,Confederation Extension (Manitoba Act),Season 13 · Viscount Bouchard de Terrebonne meets Confederation Extension (Manitoba Act) and leads.,"{""season"": 13, ""response"": ""Lead"", ""roll"": 7, ""personal_year"": 1870, ""magnitude"": ""Major"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:24
47,,societal,confederation,Red River Resistance,Season 13 · Viscount Hays of Beloeil meets Red River Resistance and resists.,"{""season"": 13, ""response"": ""Resist"", ""roll"": 2, ""personal_year"": 1869, ""magnitude"": ""Major"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:24
48,,founding,confederation,Baron McLellan of Belfast founded,"Season 13 · Baron McLellan of Belfast is created, seated at Egmont.","{""season"": 13, ""stats"": {""capital"": 34, ""influence"": 21, ""cohesion"": 61, ""ambition"": 10}, ""community"": ""Scottish Presbyterian"", ""tag"": ""Progressive""}",engine,2026-09-08 13:29:24
49,,expansion,confederation,Baron Elliott of Glengarry takes Lanark—Frontenac,Season 14 · Baron Elliott of Glengarry takes Lanark—Frontenac.,"{""season"": 14, ""riding"": ""Lanark\u2014Frontenac"", ""roll"": 9}",engine,2026-09-08 13:29:24
50,,societal,confederation,Pacific Scandal,Season 14 · Viscount Benjamin of Bellechasse meets Pacific Scandal and resists.,"{""season"": 14, ""response"": ""Resist"", ""roll"": 2, ""personal_year"": 1873, ""magnitude"": ""Significant"", ""tag"": ""Progressive""}",engine,2026-09-08 13:29:24
51,,relational,confederation,Viscount Benjamin of Bellechasse corresponds with Baron Elliott of Glengarry,Season 14 · Viscount Benjamin of Bellechasse opens a correspondence with Baron Elliott of Glengarry.,"{""season"": 14, ""marker"": ""\u25ce""}",engine,2026-09-08 13:29:24
52,,societal,confederation,British Columbia Joins; Treaty 1 Signed,Season 14 · Viscount Bouchard de Terrebonne meets British Columbia Joins; Treaty 1 Signed and resists.,"{""season"": 14, ""response"": ""Resist"", ""roll"": 2, ""personal_year"": 1871, ""magnitude"": ""Significant"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:24
53,,societal,confederation,Confederation Extension (Manitoba Act),Season 14 · Viscount Hays of Beloeil meets Confederation Extension (Manitoba Act) and resists.,"{""season"": 14, ""response"": ""Resist"", ""roll"": 2, ""personal_year"": 1870, ""magnitude"": ""Major"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:24
54,,other,confederation,Viscount Hays of Beloeil names an heir,Season 14 · Viscount Hays of Beloeil names Lazarus Hays heir.,"{""season"": 14, ""heir_age"": 30, ""role"": ""heir""}",engine,2026-09-08 13:29:24
55,,founding,confederation,Baron Cornwall of Steveston founded,"Season 14 · Baron Cornwall of Steveston is created, seated at Victoria.","{""season"": 14, ""stats"": {""capital"": 38, ""influence"": 26, ""cohesion"": 75, ""ambition"": 1}, ""community"": ""British and Anglo-Colonial"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:24
56,,expansion,confederation,Baron Elliott of Glengarry takes Carleton,Season 15 · Baron Elliott of Glengarry takes Carleton.,"{""season"": 15, ""riding"": ""Carleton"", ""roll"": 10}",engine,2026-09-08 13:29:24
57,,societal,confederation,National Policy,Season 15 · Viscount Wallace of Perth meets National Policy and exploits.,"{""season"": 15, ""response"": ""Exploit"", ""roll"": 4, ""personal_year"": 1878, ""magnitude"": ""Significant"", ""tag"": ""Conservative""}",engine,2026-09-08 13:29:24
58,,societal,confederation,National Policy,Season 15 · Baron Stefaniuk of Emerson meets National Policy and resists.,"{""season"": 15, ""response"": ""Resist"", ""roll"": 2, ""personal_year"": 1878, ""magnitude"": ""Significant"", ""tag"": ""Conservative""}",engine,2026-09-08 13:29:24
59,,societal,confederation,Long Depression Reaches Canada,Season 15 · Viscount Benjamin of Bellechasse meets Long Depression Reaches Canada and exploits.,"{""season"": 15, ""response"": ""Exploit"", ""roll"": 5, ""personal_year"": 1874, ""magnitude"": ""Major"", ""tag"": ""Conservative""}",engine,2026-09-08 13:29:24
60,,other,confederation,Viscount Benjamin of Bellechasse endows an institution,Season 15 · Viscount Benjamin of Bellechasse endows an institution.,"{""season"": 15}",engine,2026-09-08 13:29:24
61,,societal,confederation,Pacific Scandal,Season 15 · Viscount Mercier de Rimouski meets Pacific Scandal and exploits.,"{""season"": 15, ""response"": ""Exploit"", ""roll"": 4, ""personal_year"": 1873, ""magnitude"": ""Significant"", ""tag"": ""Progressive""}",engine,2026-09-08 13:29:24
62,,societal,confederation,British Columbia Joins; Treaty 1 Signed,Season 15 · Viscount Hays of Beloeil meets British Columbia Joins; Treaty 1 Signed and exploits.,"{""season"": 15, ""response"": ""Exploit"", ""roll"": 5, ""personal_year"": 1871, ""magnitude"": ""Significant"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:24
63,,societal,confederation,Red River Resistance,Season 15 · Baron McLellan of Belfast meets Red River Resistance and resists.,"{""season"": 15, ""response"": ""Resist"", ""roll"": 3, ""personal_year"": 1869, ""magnitude"": ""Major"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:24
64,,relational,confederation,Baron McLellan of Belfast corresponds with Viscount Bouchard de Terrebonne,Season 15 · Baron McLellan of Belfast opens a correspondence with Viscount Bouchard de Terrebonne.,"{""season"": 15, ""marker"": ""\u25ce""}",engine,2026-09-08 13:29:24
65,,other,confederation,Viscount Benjamin of Bellechasse names an heir,Season 16 · Viscount Benjamin of Bellechasse names Emanuel Benjamin heir.,"{""season"": 16, ""heir_age"": 20, ""role"": ""heir""}",engine,2026-09-08 13:29:24
66,,societal,confederation,Long Depression Reaches Canada,Season 16 · Viscount Mercier de Rimouski meets Long Depression Reaches Canada and stands aside.,"{""season"": 16, ""response"": ""Neutral"", ""roll"": 1, ""personal_year"": 1874, ""magnitude"": ""Major"", ""tag"": ""Conservative""}",engine,2026-09-08 13:29:24
67,,societal,confederation,Pacific Scandal,Season 16 · Viscount Bouchard de Terrebonne meets Pacific Scandal and exploits.,"{""season"": 16, ""response"": ""Exploit"", ""roll"": 4, ""personal_year"": 1873, ""magnitude"": ""Significant"", ""tag"": ""Progressive""}",engine,2026-09-08 13:29:24
68,,expansion,confederation,Viscount Bouchard de Terrebonne takes Louis-Hébert,Season 16 · Viscount Bouchard de Terrebonne takes Louis-Hébert.,"{""season"": 16, ""riding"": ""Louis-H\u00e9bert"", ""roll"": 9}",engine,2026-09-08 13:29:24
69,,societal,confederation,Confederation Extension (Manitoba Act),Season 16 · Baron McLellan of Belfast meets Confederation Extension (Manitoba Act) and stands aside.,"{""season"": 16, ""response"": ""Neutral"", ""roll"": 1, ""personal_year"": 1870, ""magnitude"": ""Major"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:24
70,,other,confederation,Baron McLellan of Belfast names an heir,Season 16 · Baron McLellan of Belfast names Elspeth McLellan heir.,"{""season"": 16, ""heir_age"": 24, ""role"": ""heir""}",engine,2026-09-08 13:29:24
71,,societal,confederation,Red River Resistance,Season 16 · Baron Cornwall of Steveston meets Red River Resistance and leads.,"{""season"": 16, ""response"": ""Lead"", ""roll"": 6, ""personal_year"": 1869, ""magnitude"": ""Major"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:24
72,,other,confederation,Baron Elliott of Glengarry names an heir,Season 17 · Baron Elliott of Glengarry names Norah Elliott heir.,"{""season"": 17, ""heir_age"": 11, ""role"": ""heir""}",engine,2026-09-08 13:29:24
73,,expansion,confederation,Viscount Wallace of Perth takes Hamilton East—Stoney Creek,Season 17 · Viscount Wallace of Perth takes Hamilton East—Stoney Creek.,"{""season"": 17, ""riding"": ""Hamilton East\u2014Stoney Creek"", ""roll"": 11}",engine,2026-09-08 13:29:24
74,,societal,confederation,Indian Act,Season 17 · Viscount Benjamin of Bellechasse meets Indian Act and leads.,"{""season"": 17, ""response"": ""Lead"", ""roll"": 7, ""personal_year"": 1876, ""magnitude"": ""Major"", ""tag"": ""Conservative""}",engine,2026-09-08 13:29:24
75,,societal,confederation,Long Depression Reaches Canada,Season 17 · Viscount Bouchard de Terrebonne meets Long Depression Reaches Canada and resists.,"{""season"": 17, ""response"": ""Resist"", ""roll"": 3, ""personal_year"": 1874, ""magnitude"": ""Major"", ""tag"": ""Conservative""}",engine,2026-09-08 13:29:24
76,,other,confederation,Viscount Bouchard de Terrebonne names an heir,Season 17 · Viscount Bouchard de Terrebonne names Lomer Bouchard heir.,"{""season"": 17, ""heir_age"": 28, ""role"": ""heir""}",engine,2026-09-08 13:29:24
77,,societal,confederation,Pacific Scandal,Season 17 · Viscount Hays of Beloeil meets Pacific Scandal and exploits.,"{""season"": 17, ""response"": ""Exploit"", ""roll"": 5, ""personal_year"": 1873, ""magnitude"": ""Significant"", ""tag"": ""Progressive""}",engine,2026-09-08 13:29:24
78,,relational,confederation,Viscount Hays of Beloeil corresponds with Viscount Mercier de Rimouski,Season 17 · Viscount Hays of Beloeil opens a correspondence with Viscount Mercier de Rimouski.,"{""season"": 17, ""marker"": ""\u25ce""}",engine,2026-09-08 13:29:24
79,,societal,confederation,British Columbia Joins; Treaty 1 Signed,Season 17 · Baron McLellan of Belfast meets British Columbia Joins; Treaty 1 Signed and stands aside.,"{""season"": 17, ""response"": ""Neutral"", ""roll"": 1, ""personal_year"": 1871, ""magnitude"": ""Significant"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:24
80,,societal,confederation,Confederation Extension (Manitoba Act),Season 17 · Baron Cornwall of Steveston meets Confederation Extension (Manitoba Act) and exploits.,"{""season"": 17, ""response"": ""Exploit"", ""roll"": 5, ""personal_year"": 1870, ""magnitude"": ""Major"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:24
81,,founding,confederation,Baron Langelier de Charlevoix founded,"Season 17 · Baron Langelier de Charlevoix is created, seated at Lac-Saint-Jean.","{""season"": 17, ""stats"": {""capital"": 38, ""influence"": 24, ""cohesion"": 65, ""ambition"": 2}, ""community"": ""Canadien Catholic"", ""tag"": ""Progressive""}",engine,2026-09-08 13:29:24
82,,societal,confederation,Canadian Pacific Railway Chartered,Season 18 · Viscount Wallace of Perth meets Canadian Pacific Railway Chartered and exploits.,"{""season"": 18, ""response"": ""Exploit"", ""roll"": 5, ""personal_year"": 1881, ""magnitude"": ""Significant"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:24
83,,societal,confederation,Canadian Pacific Railway Chartered,Season 18 · Baron Stefaniuk of Emerson meets Canadian Pacific Railway Chartered and stands aside.,"{""season"": 18, ""response"": ""Neutral"", ""roll"": 1, ""personal_year"": 1881, ""magnitude"": ""Significant"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:24
84,,relational,confederation,Viscount Benjamin of Bellechasse corresponds with Baron Elliott of Glengarry,Season 18 · Viscount Benjamin of Bellechasse opens a correspondence with Baron Elliott of Glengarry.,"{""season"": 18, ""marker"": ""+""}",engine,2026-09-08 13:29:24
85,,societal,confederation,Indian Act,Season 18 · Viscount Mercier de Rimouski meets Indian Act and stands aside.,"{""season"": 18, ""response"": ""Neutral"", ""roll"": 0, ""personal_year"": 1876, ""magnitude"": ""Major"", ""tag"": ""Conservative""}",engine,2026-09-08 13:29:24
86,,expansion,confederation,Viscount Mercier de Rimouski takes Pierre-Boucher—Les Patriotes—Verchères,Season 18 · Viscount Mercier de Rimouski takes Pierre-Boucher—Les Patriotes—Verchères.,"{""season"": 18, ""riding"": ""Pierre-Boucher\u2014Les Patriotes\u2014Verch\u00e8res"", ""roll"": 9}",engine,2026-09-08 13:29:24
87,,societal,confederation,Long Depression Reaches Canada,Season 18 · Viscount Hays of Beloeil meets Long Depression Reaches Canada and stands aside.,"{""season"": 18, ""response"": ""Neutral"", ""roll"": 1, ""personal_year"": 1874, ""magnitude"": ""Major"", ""tag"": ""Conservative""}",engine,2026-09-08 13:29:24
88,,expansion,confederation,Viscount Hays of Beloeil takes Outremont,Season 18 · Viscount Hays of Beloeil takes Outremont.,"{""season"": 18, ""riding"": ""Outremont"", ""roll"": 8}",engine,2026-09-08 13:29:24
89,,societal,confederation,British Columbia Joins; Treaty 1 Signed,Season 18 · Baron Cornwall of Steveston meets British Columbia Joins; Treaty 1 Signed and leads.,"{""season"": 18, ""response"": ""Lead"", ""roll"": 6, ""personal_year"": 1871, ""magnitude"": ""Significant"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:24
90,,other,confederation,Baron Langelier de Charlevoix names an heir,Season 18 · Baron Langelier de Charlevoix names Clémence Langelier heir.,"{""season"": 18, ""heir_age"": 28, ""role"": ""heir""}",engine,2026-09-08 13:29:24
91,,founding,confederation,Viscount Meagher of Chatham founded,"Season 18 · Viscount Meagher of Chatham is created, seated at Kapuskasing—Timmins—Mushkegowuk.","{""season"": 18, ""stats"": {""capital"": 41, ""influence"": 45, ""cohesion"": 70, ""ambition"": 6}, ""community"": ""Irish Catholic"", ""tag"": ""Progressive""}",engine,2026-09-08 13:29:24
92,,relational,confederation,Baron Elliott of Glengarry corresponds with Viscount Hays of Beloeil,Season 19 · Baron Elliott of Glengarry opens a correspondence with Viscount Hays of Beloeil.,"{""season"": 19, ""marker"": ""\u25ce""}",engine,2026-09-08 13:29:24
93,,expansion,confederation,Baron Stefaniuk of Emerson takes Riding Mountain,Season 19 · Baron Stefaniuk of Emerson takes Riding Mountain.,"{""season"": 19, ""riding"": ""Riding Mountain"", ""roll"": 8}",engine,2026-09-08 13:29:24
94,,societal,confederation,National Policy,Season 19 · Viscount Benjamin of Bellechasse meets National Policy and leads.,"{""season"": 19, ""response"": ""Lead"", ""roll"": 7, ""personal_year"": 1878, ""magnitude"": ""Significant"", ""tag"": ""Conservative""}",engine,2026-09-08 13:29:24
95,,societal,confederation,Indian Act,Season 19 · Viscount Bouchard de Terrebonne meets Indian Act and resists.,"{""season"": 19, ""response"": ""Resist"", ""roll"": 2, ""personal_year"": 1876, ""magnitude"": ""Major"", ""tag"": ""Conservative""}",engine,2026-09-08 13:29:24
96,,societal,confederation,Pacific Scandal,Season 19 · Baron McLellan of Belfast meets Pacific Scandal and resists.,"{""season"": 19, ""response"": ""Resist"", ""roll"": 2, ""personal_year"": 1873, ""magnitude"": ""Significant"", ""tag"": ""Progressive""}",engine,2026-09-08 13:29:24
97,,societal,confederation,Red River Resistance,Season 19 · Baron Langelier de Charlevoix meets Red River Resistance and stands aside.,"{""season"": 19, ""response"": ""Neutral"", ""roll"": 1, ""personal_year"": 1869, ""magnitude"": ""Major"", ""tag"": ""Mixed""}",engine,2026-09-08 13:29:24
98,,relational,confederation,Baron Langelier de Charlevoix corresponds with Viscount Mercier de Rimouski,Season 19 · Baron Langelier de Charlevoix opens a correspondence with Viscount Mercier de Rimouski.,"{""season"": 19, ""marker"": ""\u25ce""}",engine,2026-09-08 13:29:24
