id,house,name,generation,acceded,bio_age_at_accession,predecessor,heir_apparent,is_current,source,confidence,notes
23,Ashworth,,G1,founding,,,Thomas Ashworth,1,metrics 2026-04-27,low,G1→G2 was 'approaching' on 2026-04-27; later status unknown
24,Wilson,Cairine Wilson,G1,founding,,,,1,event text 2026-05-04,low,name inferred from 'Cairine Wilson against-own-party Lead positioning' text; confirm
25,Cardinal,,G1,founding,,,"Suzanne Cardinal (heir-apparent, operational principal)",1,event text 2026-05-04,low,holder name not yet recovered; Treaties 5+6+8+10 operational
26,Akatsiak,,G1,founding,,,,1,,none,not yet recovered
27,Hryhoryshyn,,G1,founding,,,,1,,none,not yet recovered
28,Klassen-Reimer,,G1,founding,,,,1,,none,not yet recovered
29,Anand,Dr. Vikram Pratap Anand,G1,"founding (bio ~70 at grant, b. 1898 Lahore)",~70,,"Rajesh Anand (eldest son, ~25 at founding)",1,founding block 2026-05-04,high,31st house; wife Sushila Kaur-Bhatia Anand
30,Calabrese,Vincenzo Eduardo Calabrese,G1,"founding (bio ~70 at grant, b. 1898 Reggio Calabria)",~70,,"Giuseppe Calabrese (eldest son, ~30 at founding)",1,founding block 2026-05-04,high,32nd house; wife Maria Lombardi-Calabrese
31,Trondek,Charlie Sékt'ìnka' Trondek,G1,"founding (bio ~70 at grant, b. ~1875 Tr'ochëk)",~70,,"Joseph Sékt'ìnka' Trondek (eldest son, ~30 at founding)",1,founding block 2026-05-04,high,33rd house; wife Mary Henderson-Trondek
32,Boyer-Lavallée,François-Xavier Boyer-Lavallée,G1,founding,,,Marie-Louise Boyer-Lavallée (heir-apparent-operational),1,founding block 2026-05-04,medium,34th house
33,FitzWilliam-Macklem,,G1,founding,,,,1,,none,35th house; holder name not yet recovered (Servos-FitzWilliam-Macklem household)
34,Tupper-Blair,Charles Gordon Tupper-Blair,G2,,~33,Gordon Tupper-Blair,,1,handoff 2026-04-25,medium,"disorderly succession, no named heir; isolation TERMINAL³; variant founder name Sir Charles / heir Hartley recorded 2026-05-04, not used"
35,Kilmartin,Donald Kilmartin,G2,autumn Kilmartin personal 1923,~56,Sir Alasdair Kilmartin,not formally named,1,cascade 2026-04-27,high,retired; Sudbury to Whitcombe
