house,seat_order,riding,peerage,rank,hex
Richard-Arseneau,16,Portneuf—Jacques-Cartier,Marquis Richard-Arseneau de la Chaleur,Marquis,#5E9490
Richard-Arseneau,17,Charlesbourg—Haute-Saint-Charles,Marquis Richard-Arseneau de la Chaleur,Marquis,#5E9490
MacNeil,1,Sydney—Glace Bay,Viscount MacNeil of Boisdale,Viscount,#6B2E2E
MacNeil,2,Cape Breton—Canso—Antigonish,Viscount MacNeil of Boisdale,Viscount,#9C6B6B
MacNeil,3,Central Nova,Viscount MacNeil of Boisdale,Viscount,#9C6B6B
MacNeil,4,Cumberland—Colchester,Viscount MacNeil of Boisdale,Viscount,#9C6B6B
MacNeil,5,Kings—Hants,Viscount MacNeil of Boisdale,Viscount,#9C6B6B
MacNeil,6,Acadie—Annapolis,Viscount MacNeil of Boisdale,Viscount,#9C6B6B
Pereira,1,Ville-Marie—Le Sud-Ouest—Île-des-Sœurs,Viscount Pereira of Mount Royal,Viscount,#283969
Pereira,2,Laurier—Sainte-Marie,Viscount Pereira of Mount Royal,Viscount,#5566A0
Pereira,3,Outremont,Viscount Pereira of Mount Royal,Viscount,#5566A0
Pereira,4,Papineau,Viscount Pereira of Mount Royal,Viscount,#5566A0
Pereira,5,Mount Royal,Viscount Pereira of Mount Royal,Viscount,#5566A0
Pereira,6,Saint-Laurent,Viscount Pereira of Mount Royal,Viscount,#5566A0
Letendre dit Batoche,1,St. Boniface—St. Vital,Baron Letendre dit Batoche de la Rivière-Rouge,Baron,#7A5A1C
Wallace,1,Toronto Centre,Viscount Wallace of Rosedale,Viscount,#A44A1F
Wallace,2,Spadina—Harbourfront,Viscount Wallace of Rosedale,Viscount,#C27550
Wallace,3,Taiaiako'n—Parkdale—High Park,Viscount Wallace of Rosedale,Viscount,#C27550
Wallace,4,University—Rosedale,Viscount Wallace of Rosedale,Viscount,#C27550
Wallace,5,Toronto—Danforth,Viscount Wallace of Rosedale,Viscount,#C27550
Wallace,6,Toronto—St. Paul's,Viscount Wallace of Rosedale,Viscount,#C27550
Wallace,7,Don Valley West,Viscount Wallace of Rosedale,Viscount,#C27550
Sinclair-McKay,1,Regina—Wascana,Countess Sinclair-McKay of Kinookimaw,Countess,#3A6B8F
Sinclair-McKay,2,Regina—Qu'Appelle,Countess Sinclair-McKay of Kinookimaw,Countess,#6693B8
Sinclair-McKay,3,Yorkton—Melville,Countess Sinclair-McKay of Kinookimaw,Countess,#6693B8
Sinclair-McKay,4,Souris—Moose Mountain,Countess Sinclair-McKay of Kinookimaw,Countess,#6693B8
Sinclair-McKay,5,Moose Jaw—Lake Centre—Lanigan,Countess Sinclair-McKay of Kinookimaw,Countess,#6693B8
Tessier,1,Laurentides—Labelle,Baron Tessier de Saint-Jérôme,Baron,#4B3A6B
Tessier,2,Joliette—Manawan,Baron Tessier de Saint-Jérôme,Baron,#5D4270
Tessier,3,Les Pays-d'en-Haut,Baron Tessier de Saint-Jérôme,Baron,#5D4270
Tessier,4,Pontiac—Kitigan Zibi,Baron Tessier de Saint-Jérôme,Baron,#5D4270
Stanton-Greville,1,Bay of Quinte,Viscount Stanton-Greville of Adolphustown,Viscount,#8B1A1A
Stanton-Greville,2,Kingston and the Islands,Viscount Stanton-Greville of Adolphustown,Viscount,#B65757
Stanton-Greville,3,Hastings—Lennox and Addington—Tyendinaga,Viscount Stanton-Greville of Adolphustown,Viscount,#B65757
Stanton-Greville,4,Leeds—Grenville—Thousand Islands—Rideau Lakes,Viscount Stanton-Greville of Adolphustown,Viscount,#B65757
Stanton-Greville,5,Stormont—Dundas—Glengarry,Viscount Stanton-Greville of Adolphustown,Viscount,#B65757
Stanton-Greville,6,Lanark—Frontenac,Viscount Stanton-Greville of Adolphustown,Viscount,#B65757
Stanton-Greville,7,Northumberland—Clarke,Viscount Stanton-Greville of Adolphustown,Viscount,#B65757
Galbraith,1,Oxford,Baron Galbraith of Oxford,Baron,#7A8C3D
Garland,1,Avalon,Viscount Garland of Avalon,Viscount,#4A6B5E
Garland,2,Terra Nova—The Peninsulas,Viscount Garland of Avalon,Viscount,#6B8C7A
Garland,3,Cape Spear,Viscount Garland of Avalon,Viscount,#6B8C7A
Garland,4,St. John's East,Viscount Garland of Avalon,Viscount,#6B8C7A
Garland,5,Central Newfoundland,Viscount Garland of Avalon,Viscount,#6B8C7A
Garland,6,Labrador,Viscount Garland of Avalon,Viscount,#6B8C7A
MacDonald,1,Cardigan,Viscount MacDonald of the Prince's Island,Viscount,#3F5A6B
MacDonald,2,Malpeque,Viscount MacDonald of the Prince's Island,Viscount,#5F7A8B
MacDonald,3,Egmont,Viscount MacDonald of the Prince's Island,Viscount,#5F7A8B
MacDonald,4,Charlottetown,Viscount MacDonald of the Prince's Island,Viscount,#5F7A8B
MacDonald,5,Long Range Mountains,Viscount MacDonald of the Prince's Island,Viscount,#5F7A8B
MacDonald,6,Côte-Nord—Kawawachikamach—Nitassinan,Viscount MacDonald of the Prince's Island,Viscount,#5F7A8B
MacDonald,7,Chicoutimi—Le Fjord,Viscount MacDonald of the Prince's Island,Viscount,#5F7A8B
Blaikie,1,Notre-Dame-de-Grâce—Westmount,Baron Blaikie of Westmount,Baron,#2C3A4A
Delany,1,Chatham-Kent—Leamington,Viscount Delany of Chatham,Viscount,#6B3416
Delany,2,Essex,Viscount Delany of Chatham,Viscount,#C6A664
Delany,3,Windsor West,Viscount Delany of Chatham,Viscount,#C6A664
Delany,4,Windsor—Tecumseh—Lakeshore,Viscount Delany of Chatham,Viscount,#C6A664
Létourneau,1,Hull—Aylmer,Baron Létourneau de Gatineau,Baron,#4A6B3E
Lockhart,1,Foothills,Baron Lockhart of Waterton,Baron,#7A6144
Lockhart,2,Lethbridge,Baron Lockhart of Waterton,Baron,#9C8766
Lockhart,3,Medicine Hat—Cardston—Warner,Baron Lockhart of Waterton,Baron,#9C8766
Ross,1,Selkirk—Interlake—Eastman,Baron Ross of Assiniboia,Baron,#5B7F8A
Ross,2,Kildonan—St. Paul,Baron Ross of Assiniboia,Baron,#7A9DAB
Ross,3,Elmwood—Transcona,Baron Ross of Assiniboia,Baron,#7A9DAB
Ross,4,Provencher,Baron Ross of Assiniboia,Baron,#7A9DAB
Hall,1,Sackville—Bedford—Preston,Earl Hall of Preston,Earl,#5C2E3D
Hall,2,Dartmouth—Cole Harbour,Earl Hall of Preston,Earl,#7A4D5A
Hall,3,Halifax West,Earl Hall of Preston,Earl,#7A4D5A
Hall,4,South Shore—St. Margarets,Earl Hall of Preston,Earl,#7A4D5A
Hall,5,Halifax,Earl Hall of Preston,Earl,#7A4D5A
Wilmot-Hazen,1,Saint John—St. Croix,Baron Wilmot-Hazen of Saint John,Baron,#4A3828
Wilmot-Hazen,2,Tobique—Mactaquac,Baron Wilmot-Hazen of Saint John,Baron,#A88860
Ashworth,1,Winnipeg Centre,Baron Ashworth of Winnipeg,Baron,#A68554
Ashworth,2,Winnipeg West,Baron Ashworth of Winnipeg,Baron,#C9AC81
Ashworth,3,Winnipeg North,Baron Ashworth of Winnipeg,Baron,#C9AC81
Polkinghorne,1,Columbia—Kootenay—Southern Rockies,Baron Polkinghorne of Kootenay,Baron,#2A4F5F
Polkinghorne,2,Similkameen—South Okanagan—West Kootenay,Baron Polkinghorne of Kootenay,Baron,#5A7F8F
Polkinghorne,3,Vernon—Lake Country—Monashee,Baron Polkinghorne of Kootenay,Baron,#5A7F8F
Macleod,1,Bow River,Viscount Macleod of Bow Valley,Viscount,#5C4B2E
Macleod,2,Calgary East,Viscount Macleod of Bow Valley,Viscount,#A89169
Macleod,3,Calgary Shepard,Viscount Macleod of Bow Valley,Viscount,#A89169
Macleod,4,Yellowhead,Viscount Macleod of Bow Valley,Viscount,#A89169
Wilson,1,Ottawa—Vanier—Gloucester,Baroness Wilson of Rockcliffe,Baroness,#7B3F7B
Cardinal,1,Churchill—Keewatinook Aski,Viscount Cardinal of Norway House,Viscount,#2D5F5F
Cardinal,2,Desnethé—Missinippi—Churchill River,Viscount Cardinal of Norway House,Viscount,#5C8585
Hryhoryshyn,1,Lakeland,Viscount Hryhoryshyn of Star,Viscount,#C8B600
Hryhoryshyn,2,Battlefords—Lloydminster—Meadow Lake,Viscount Hryhoryshyn of Star,Viscount,#E8D620
Klassen-Reimer,1,Portage—Lisgar,Baron Klassen-Reimer of Winkler,Baron,#4A6B47
Klassen-Reimer,2,Brandon—Souris,Baron Klassen-Reimer of Winkler,Baron,#6A8B67
Akatsiak,1,Nunavut,Viscount Akatsiak of Mittimatalik,Viscount,#4FA8C8
Akatsiak,2,Northwest Territories,Viscount Akatsiak of Mittimatalik,Viscount,#7CC8DC
Anand,1,Don Valley North,Baron Anand of Don Valley,Baron,#C8501F
Anand,2,Willowdale,Baron Anand of Don Valley,Baron,#E8703F
Calabrese,1,Saint-Léonard—Saint-Michel,Baron Calabrese of Saint-Léonard,Baron,#2D7A4F
Trondek,1,Yukon,Baron Trondek of Dawson,Baron,#7A6332
Boyer-Lavallée,1,Carlton Trail—Eagle Creek,Baron Boyer-Lavallée of Carlton Trail,Baron,#A04A2D
FitzWilliam-Macklem,1,Niagara West,Baron FitzWilliam-Macklem of Lincoln,Baron,#5D2A1F
