house,current_holder,generation,acceded,bio_age_at_accession,predecessor,heir_apparent,status,source,confidence,notes
Ashworth,,G1,founding,,,Thomas Ashworth,active,metrics 2026-04-27,low,G1→G2 was 'approaching' on 2026-04-27; later status unknown
Wilson,Cairine Wilson,G1,founding,,,,active,event text 2026-05-04,low,name inferred from 'Cairine Wilson against-own-party Lead positioning' text; confirm
Cardinal,,G1,founding,,,"Suzanne Cardinal (heir-apparent, operational principal)",active,event text 2026-05-04,low,holder name not yet recovered; Treaties 5+6+8+10 operational
Akatsiak,,G1,founding,,,,active,,none,not yet recovered
Hryhoryshyn,,G1,founding,,,,active,,none,not yet recovered
Klassen-Reimer,,G1,founding,,,,active,,none,not yet recovered
Anand,Dr. Vikram Pratap Anand,G1,"founding (bio ~70 at grant, b. 1898 Lahore)",~70,,"Rajesh Anand (eldest son, ~25 at founding)",active,founding block 2026-05-04,high,31st house; wife Sushila Kaur-Bhatia Anand
Calabrese,Vincenzo Eduardo Calabrese,G1,"founding (bio ~70 at grant, b. 1898 Reggio Calabria)",~70,,"Giuseppe Calabrese (eldest son, ~30 at founding)",active,founding block 2026-05-04,high,32nd house; wife Maria Lombardi-Calabrese
Trondek,Charlie Sékt'ìnka' Trondek,G1,"founding (bio ~70 at grant, b. ~1875 Tr'ochëk)",~70,,"Joseph Sékt'ìnka' Trondek (eldest son, ~30 at founding)",active,founding block 2026-05-04,high,33rd house; wife Mary Henderson-Trondek
Boyer-Lavallée,François-Xavier Boyer-Lavallée,G1,founding,,,Marie-Louise Boyer-Lavallée (heir-apparent-operational),active,founding block 2026-05-04,medium,34th house
FitzWilliam-Macklem,,G1,founding,,,,active,,none,35th house; holder name not yet recovered (Servos-FitzWilliam-Macklem household)
Tupper-Blair,Charles Gordon Tupper-Blair,G2,,~33,Gordon Tupper-Blair,,removed,handoff 2026-04-25,medium,"disorderly succession, no named heir; isolation TERMINAL³; CONFLICT: founding-era text names founder Sir Charles with Hartley heir"
Kilmartin,Donald Kilmartin,G2,autumn Kilmartin personal 1923,~56,Sir Alasdair Kilmartin,not formally named,removed,cascade 2026-04-27,high,retired; Sudbury to Whitcombe
